Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Brazil,"750,783,955",,,,,,,Japan
,2018,,7.89,7.89,403,,,,Japan
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Japan
300190 - Other,,4.00,4.00,5,,,,Japan
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,Japan
300212 - - Antisera and other blood fractions,,3.37,3.37,19,,,,Japan
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,Japan
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,2,,,,Japan
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.67,0.67,3,,,,Japan
300219 - - Other,,2.00,2.00,1,,,,Japan
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Japan
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Japan
300290 - Other,,6.25,6.25,8,,,,Japan
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Japan
"300320 - Other, containing antibiotics",,6.69,6.69,26,,,,Japan
300331 - - Containing insulin,,14.00,14.00,1,,,,Japan
300339 - - Other,,7.25,7.25,32,,,,Japan
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,Japan
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,Japan
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,Japan
300349 - - Other,,7.33,7.33,6,,,,Japan
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,Japan
300390 - Other,,10.49,10.49,73,,,,Japan
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Japan
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,Japan
300431 - - Containing insulin,,14.00,14.00,1,,,,Japan
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Japan
300439 - - Other,,7.06,7.06,32,,,,Japan
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,Japan
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,Japan
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,Japan
300449 - - Other,,7.33,7.33,6,,,,Japan
"300450 - Other, containing vitamins or other products of heading 29.36",,10.57,10.57,7,,,,Japan
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,Japan
