Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
India,"1,915,365",,,,,,,Ukraine
,2018,,9.87,9.87,224,,,,Ukraine
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,Ukraine
300190 - Other,,10.00,10.00,3,,,,Ukraine
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,Ukraine
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,Ukraine
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Ukraine
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Ukraine
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Ukraine
300219 - - Other,,10.00,10.00,1,,,,Ukraine
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,Ukraine
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,Ukraine
300290 - Other,,10.00,10.00,5,,,,Ukraine
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,Ukraine
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,Ukraine
300331 - - Containing insulin,,10.00,10.00,1,,,,Ukraine
300339 - - Other,,10.00,10.00,1,,,,Ukraine
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Ukraine
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Ukraine
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Ukraine
300349 - - Other,,10.00,10.00,1,,,,Ukraine
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Ukraine
300390 - Other,,10.00,10.00,14,,,,Ukraine
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,Ukraine
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,Ukraine
300431 - - Containing insulin,,10.00,10.00,2,,,,Ukraine
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,Ukraine
300439 - - Other,,10.00,10.00,8,,,,Ukraine
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Ukraine
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Ukraine
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Ukraine
300449 - - Other,,10.00,10.00,8,,,,Ukraine
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,Ukraine
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Ukraine
300490 - Other,,10.00,10.00,70,,,,Ukraine
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,Ukraine
