Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
Yemen,0,,,,,,,Ukraine
,2016,,20.43,20.43,69,,,,Ukraine
080111 -- Desiccated,,10.00,10.00,1,,,,Ukraine
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,Ukraine
080119 -- Other,,10.00,10.00,1,,,,Ukraine
080121 -- In shell,,10.00,10.00,1,,,,Ukraine
080122 -- Shelled,,10.00,10.00,1,,,,Ukraine
080131 -- In shell,,10.00,10.00,1,,,,Ukraine
080132 -- Shelled,,10.00,10.00,1,,,,Ukraine
080211 -- In shell,,25.00,25.00,1,,,,Ukraine
080212 -- Shelled,,25.00,25.00,1,,,,Ukraine
080221 -- In shell,,10.00,10.00,1,,,,Ukraine
080222 -- Shelled,,10.00,10.00,1,,,,Ukraine
080231 -- In shell,,25.00,25.00,1,,,,Ukraine
080232 -- Shelled,,25.00,25.00,1,,,,Ukraine
080241 -- In shell,,10.00,10.00,1,,,,Ukraine
080242 -- Shelled,,10.00,10.00,1,,,,Ukraine
080251 -- In shell,,10.00,10.00,1,,,,Ukraine
080252 -- Shelled,,10.00,10.00,1,,,,Ukraine
080261 -- In shell,,10.00,10.00,1,,,,Ukraine
080262 -- Shelled,,10.00,10.00,1,,,,Ukraine
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,Ukraine
080280 - Areca nuts,,10.00,10.00,1,,,,Ukraine
080290 - Other,,10.00,10.00,1,,,,Ukraine
080310 - Plantains,,25.00,25.00,1,,,,Ukraine
080390 - Other,,25.00,25.00,1,,,,Ukraine
080410 - Dates,,25.00,25.00,1,,,,Ukraine
080420 - Figs,,25.00,25.00,1,,,,Ukraine
080430 - Pineapples,,10.00,10.00,1,,,,Ukraine
080440 - Avocados,,25.00,25.00,1,,,,Ukraine
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,Ukraine
