Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"3,723,121,686",,,,,,,Brazil
,2018,,6.84,6.84,44,39,,,Brazil
170112 - - Beet sugar,,,,2,2,,,Brazil
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Brazil
170114 - - Other cane sugar,,,,2,2,,,Brazil
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Brazil
170199 - - Other,,,,2,2,,,Brazil
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Brazil
170219 - - Other,,,,1,1,,,Brazil
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Brazil
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Brazil
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Brazil
170250 - Chemically pure fructose,,,,1,1,,,Brazil
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Brazil
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,Brazil
170310 - Cane molasses,,0.00,0.00,1,,,,Brazil
170390 - Other,,0.00,0.00,1,,,,Brazil
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,,,Brazil
170490 - Other,,13.40,13.40,10,9,,,Brazil
,2017,"99,240,990",6.84,6.84,44,39,,,Brazil
170112 - - Beet sugar,271,,,2,2,,,Brazil
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,"1,246,682",,,2,2,,,Brazil
170114 - - Other cane sugar,"66,016,066",,,2,2,,,Brazil
170191 - - Containing added flavouring or colouring matter,579,,,1,1,,,Brazil
170199 - - Other,"28,444,528",,,2,2,,,Brazil
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Brazil
170219 - - Other,203,,,1,1,,,Brazil
170220 - Maple sugar and maple syrup,541,8.00,8.00,2,1,,,Brazil
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","42,510",,,3,3,,,Brazil
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Brazil
170250 - Chemically pure fructose,114,,,1,1,,,Brazil
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Brazil
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","33,189",12.80,12.80,8,7,,,Brazil
170310 - Cane molasses,"139,031",0.00,0.00,1,,,,Brazil
170390 - Other,"1,122",0.00,0.00,1,,,,Brazil
"170410 - Chewing gum, whether or not sugar-coated","1,268,187",,,2,2,,,Brazil
170490 - Other,"2,047,966",13.40,13.40,10,9,,,Brazil
,2016,"202,885,201",6.84,6.84,44,39,,,Brazil
170112 -- Beet sugar,498,,,2,2,,,Brazil
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"2,029,824",,,2,2,,,Brazil
170114 -- Other cane sugar,"167,361,518",,,2,2,,,Brazil
170191 -- Containing added flavouring or colouring matter,"7,577",,,1,1,,,Brazil
170199 -- Other,"29,466,632",,,2,2,,,Brazil
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","138,353",,,1,1,,,Brazil
170219 -- Other,"2,968",,,1,1,,,Brazil
170220 - Maple sugar and maple syrup,457,8.00,8.00,2,1,,,Brazil
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","19,050",,,3,3,,,Brazil
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Brazil
170250 - Chemically pure fructose,,,,1,1,,,Brazil
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Brazil
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","197,352",12.80,12.80,8,7,,,Brazil
170310 - Cane molasses,"222,559",0.00,0.00,1,,,,Brazil
170390 - Other,327,0.00,0.00,1,,,,Brazil
"170410 - Chewing gum, whether or not sugar-coated","1,985,730",,,2,2,,,Brazil
170490 - Other,"1,452,357",13.40,13.40,10,9,,,Brazil
,2015,"52,701,885",6.84,6.84,44,39,,,Brazil
170112 -- Beet sugar,23,,,2,2,,,Brazil
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"1,221,131",,,2,2,,,Brazil
170114 -- Other cane sugar,"23,677,065",,,2,2,,,Brazil
170191 -- Containing added flavouring or colouring matter,"55,985",,,1,1,,,Brazil
170199 -- Other,"24,716,224",,,2,2,,,Brazil
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Brazil
170219 -- Other,334,,,1,1,,,Brazil
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Brazil
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","76,038",,,3,3,,,Brazil
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Brazil
170250 - Chemically pure fructose,,,,1,1,,,Brazil
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Brazil
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","2,403",12.80,12.80,8,7,,,Brazil
170310 - Cane molasses,"292,912",0.00,0.00,1,,,,Brazil
170390 - Other,692,0.00,0.00,1,,,,Brazil
