Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Yemen,0,,,,,,,"Korea, Republic of"
,2016,,20.43,20.43,69,,,,"Korea, Republic of"
080111 -- Desiccated,,10.00,10.00,1,,,,"Korea, Republic of"
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,"Korea, Republic of"
080119 -- Other,,10.00,10.00,1,,,,"Korea, Republic of"
080121 -- In shell,,10.00,10.00,1,,,,"Korea, Republic of"
080122 -- Shelled,,10.00,10.00,1,,,,"Korea, Republic of"
080131 -- In shell,,10.00,10.00,1,,,,"Korea, Republic of"
080132 -- Shelled,,10.00,10.00,1,,,,"Korea, Republic of"
080211 -- In shell,,25.00,25.00,1,,,,"Korea, Republic of"
080212 -- Shelled,,25.00,25.00,1,,,,"Korea, Republic of"
080221 -- In shell,,10.00,10.00,1,,,,"Korea, Republic of"
080222 -- Shelled,,10.00,10.00,1,,,,"Korea, Republic of"
080231 -- In shell,,25.00,25.00,1,,,,"Korea, Republic of"
080232 -- Shelled,,25.00,25.00,1,,,,"Korea, Republic of"
080241 -- In shell,,10.00,10.00,1,,,,"Korea, Republic of"
080242 -- Shelled,,10.00,10.00,1,,,,"Korea, Republic of"
080251 -- In shell,,10.00,10.00,1,,,,"Korea, Republic of"
080252 -- Shelled,,10.00,10.00,1,,,,"Korea, Republic of"
080261 -- In shell,,10.00,10.00,1,,,,"Korea, Republic of"
080262 -- Shelled,,10.00,10.00,1,,,,"Korea, Republic of"
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,"Korea, Republic of"
080280 - Areca nuts,,10.00,10.00,1,,,,"Korea, Republic of"
080290 - Other,,10.00,10.00,1,,,,"Korea, Republic of"
080310 - Plantains,,25.00,25.00,1,,,,"Korea, Republic of"
080390 - Other,,25.00,25.00,1,,,,"Korea, Republic of"
080410 - Dates,,25.00,25.00,1,,,,"Korea, Republic of"
080420 - Figs,,25.00,25.00,1,,,,"Korea, Republic of"
080430 - Pineapples,,10.00,10.00,1,,,,"Korea, Republic of"
080440 - Avocados,,25.00,25.00,1,,,,"Korea, Republic of"
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,"Korea, Republic of"
080510 - Oranges,,25.00,25.00,1,,,,"Korea, Republic of"
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,"Korea, Republic of"
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,"Korea, Republic of"
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,"Korea, Republic of"
080590 - Other,,25.00,25.00,1,,,,"Korea, Republic of"
080610 - Fresh,,25.00,25.00,1,,,,"Korea, Republic of"
080620 - Dried,,25.00,25.00,1,,,,"Korea, Republic of"
080711 -- Watermelons,,25.00,25.00,1,,,,"Korea, Republic of"
080719 -- Other,,25.00,25.00,1,,,,"Korea, Republic of"
080720 - Papaws (papayas),,25.00,25.00,1,,,,"Korea, Republic of"
080810 - Apples,,25.00,25.00,1,,,,"Korea, Republic of"
080830 - Pears,,25.00,25.00,1,,,,"Korea, Republic of"
080840 - Quinces,,25.00,25.00,1,,,,"Korea, Republic of"
080910 - Apricots,,25.00,25.00,1,,,,"Korea, Republic of"
080921 -- Sour cherries (Prunus cerasus),,25.00,25.00,1,,,,"Korea, Republic of"
080929 -- Other,,25.00,25.00,1,,,,"Korea, Republic of"
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,"Korea, Republic of"
080940 - Plums and sloes,,25.00,25.00,1,,,,"Korea, Republic of"
081010 - Strawberries,,25.00,25.00,1,,,,"Korea, Republic of"
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,"Korea, Republic of"
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,"Korea, Republic of"
