Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
India,"64,678,644",,,,,,,South Africa
,2018,,9.87,9.87,224,,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,South Africa
300190 - Other,,10.00,10.00,3,,,,South Africa
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,South Africa
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,South Africa
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,South Africa
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,South Africa
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,South Africa
300219 - - Other,,10.00,10.00,1,,,,South Africa
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,South Africa
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,South Africa
300290 - Other,,10.00,10.00,5,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,South Africa
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,South Africa
300331 - - Containing insulin,,10.00,10.00,1,,,,South Africa
300339 - - Other,,10.00,10.00,1,,,,South Africa
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,South Africa
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,South Africa
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,South Africa
300349 - - Other,,10.00,10.00,1,,,,South Africa
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,South Africa
300390 - Other,,10.00,10.00,14,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,South Africa
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,South Africa
300431 - - Containing insulin,,10.00,10.00,2,,,,South Africa
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,South Africa
300439 - - Other,,10.00,10.00,8,,,,South Africa
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,South Africa
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,South Africa
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,South Africa
300449 - - Other,,10.00,10.00,8,,,,South Africa
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,South Africa
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,South Africa
300490 - Other,,10.00,10.00,70,,,,South Africa
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,South Africa
300590 - Other,,10.00,10.00,8,,,,South Africa
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,South Africa
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,South Africa
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,South Africa
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,South Africa
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,South Africa
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,South Africa
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,South Africa
300691 - - Appliances identifiable for ostomy use,,10.00,10.00,1,,,,South Africa
300692 - - Waste pharmaceuticals,,10.00,10.00,1,,,,South Africa
,2017,,9.87,9.87,224,,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,South Africa
300190 - Other,,10.00,10.00,3,,,,South Africa
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,South Africa
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,South Africa
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,South Africa
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,South Africa
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,South Africa
300219 - - Other,,10.00,10.00,1,,,,South Africa
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,South Africa
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,South Africa
300290 - Other,,10.00,10.00,5,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,South Africa
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,South Africa
300331 - - Containing insulin,,10.00,10.00,1,,,,South Africa
300339 - - Other,,10.00,10.00,1,,,,South Africa
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,South Africa
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,South Africa
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,South Africa
300349 - - Other,,10.00,10.00,1,,,,South Africa
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,South Africa
300390 - Other,,10.00,10.00,14,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,South Africa
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,South Africa
300431 - - Containing insulin,,10.00,10.00,2,,,,South Africa
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,South Africa
300439 - - Other,,10.00,10.00,8,,,,South Africa
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,South Africa
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,South Africa
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,South Africa
300449 - - Other,,10.00,10.00,8,,,,South Africa
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,South Africa
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,South Africa
300490 - Other,,10.00,10.00,70,,,,South Africa
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,South Africa
300590 - Other,,10.00,10.00,8,,,,South Africa
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,South Africa
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,South Africa
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,South Africa
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,South Africa
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,South Africa
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,South Africa
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,South Africa
300691 - - Appliances identifiable for ostomy use,,10.00,10.00,1,,,,South Africa
300692 - - Waste pharmaceuticals,,10.00,10.00,1,,,,South Africa
,2016,"1,618,857",9.86,9.86,214,,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,"62,559",10.00,10.00,4,,,,South Africa
300190 - Other,,10.00,10.00,3,,,,South Africa
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","434,810",10.00,10.00,8,,,,South Africa
300220 - Vaccines for human medicine,"6,825",10.00,10.00,14,,,,South Africa
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,South Africa
300290 - Other,"76,730",10.00,10.00,5,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,South Africa
300320 - Containing other antibiotics,,10.00,10.00,1,,,,South Africa
300331 -- Containing insulin,,10.00,10.00,1,,,,South Africa
300339 -- Other,"1,200",10.00,10.00,1,,,,South Africa
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,10.00,10.00,1,,,,South Africa
300390 - Other,,10.00,10.00,14,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","17,089",10.00,10.00,8,,,,South Africa
300420 - Containing other antibiotics,,10.00,10.00,29,,,,South Africa
300431 -- Containing insulin,,10.00,10.00,2,,,,South Africa
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,South Africa
300439 -- Other,,10.00,10.00,8,,,,South Africa
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","15,394",10.00,10.00,8,,,,South Africa
300450 - Other medicaments containing vitamins or other products of heading 29.36,,10.00,10.00,11,,,,South Africa
300490 - Other,"1,004,084",10.00,10.00,70,,,,South Africa
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,South Africa
300590 - Other,,10.00,10.00,8,,,,South Africa
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,South Africa
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,South Africa
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,South Africa
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,South Africa
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,South Africa
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,South Africa
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,South Africa
300691 -- Appliances identifiable for ostomy use,166,10.00,10.00,1,,,,South Africa
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,South Africa
,2015,"1,287,864",9.86,9.86,214,,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,"45,281",10.00,10.00,4,,,,South Africa
300190 - Other,,10.00,10.00,3,,,,South Africa
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","518,042",10.00,10.00,8,,,,South Africa
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,South Africa
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,South Africa
300290 - Other,"65,157",10.00,10.00,5,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,South Africa
300320 - Containing other antibiotics,,10.00,10.00,1,,,,South Africa
300331 -- Containing insulin,,10.00,10.00,1,,,,South Africa
300339 -- Other,,10.00,10.00,1,,,,South Africa
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,10.00,10.00,1,,,,South Africa
300390 - Other,,10.00,10.00,14,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","35,531",10.00,10.00,8,,,,South Africa
300420 - Containing other antibiotics,,10.00,10.00,29,,,,South Africa
300431 -- Containing insulin,,10.00,10.00,2,,,,South Africa
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,South Africa
300439 -- Other,,10.00,10.00,8,,,,South Africa
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,10.00,10.00,8,,,,South Africa
300450 - Other medicaments containing vitamins or other products of heading 29.36,,10.00,10.00,11,,,,South Africa
300490 - Other,"597,108",10.00,10.00,70,,,,South Africa
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,South Africa
300590 - Other,"26,523",10.00,10.00,8,,,,South Africa
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,South Africa
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,South Africa
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,South Africa
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,South Africa
300650 - First-aid boxes and kits,222,10.00,10.00,1,,,,South Africa
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,South Africa
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,South Africa
300691 -- Appliances identifiable for ostomy use,,10.00,10.00,1,,,,South Africa
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,South Africa
,2014,"3,068,933",9.86,9.86,214,,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,"12,365",10.00,10.00,4,,,,South Africa
300190 - Other,,10.00,10.00,3,,,,South Africa
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","748,465",10.00,10.00,8,,,,South Africa
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,South Africa
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,South Africa
300290 - Other,"92,526",10.00,10.00,5,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,South Africa
300320 - Containing other antibiotics,,10.00,10.00,1,,,,South Africa
300331 -- Containing insulin,,10.00,10.00,1,,,,South Africa
300339 -- Other,,10.00,10.00,1,,,,South Africa
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,10.00,10.00,1,,,,South Africa
300390 - Other,226,10.00,10.00,14,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","25,799",10.00,10.00,8,,,,South Africa
300420 - Containing other antibiotics,106,10.00,10.00,29,,,,South Africa
300431 -- Containing insulin,,10.00,10.00,2,,,,South Africa
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,South Africa
300439 -- Other,,10.00,10.00,8,,,,South Africa
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","3,192",10.00,10.00,8,,,,South Africa
300450 - Other medicaments containing vitamins or other products of heading 29.36,332,10.00,10.00,11,,,,South Africa
300490 - Other,"2,079,476",10.00,10.00,70,,,,South Africa
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,South Africa
300590 - Other,"46,313",10.00,10.00,8,,,,South Africa
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,South Africa
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,South Africa
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,South Africa
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,South Africa
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,South Africa
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","60,133",0.00,0.00,3,,,,South Africa
