Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
India,"14,419",,,,,,,Albania
,2018,,9.87,9.87,224,,,,Albania
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,Albania
300190 - Other,,10.00,10.00,3,,,,Albania
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,Albania
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,Albania
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Albania
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Albania
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Albania
300219 - - Other,,10.00,10.00,1,,,,Albania
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,Albania
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,Albania
300290 - Other,,10.00,10.00,5,,,,Albania
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,Albania
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,Albania
300331 - - Containing insulin,,10.00,10.00,1,,,,Albania
300339 - - Other,,10.00,10.00,1,,,,Albania
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Albania
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Albania
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Albania
300349 - - Other,,10.00,10.00,1,,,,Albania
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Albania
300390 - Other,,10.00,10.00,14,,,,Albania
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,Albania
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,Albania
300431 - - Containing insulin,,10.00,10.00,2,,,,Albania
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,Albania
300439 - - Other,,10.00,10.00,8,,,,Albania
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Albania
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Albania
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Albania
300449 - - Other,,10.00,10.00,8,,,,Albania
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,Albania
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Albania
300490 - Other,,10.00,10.00,70,,,,Albania
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,Albania
300590 - Other,,10.00,10.00,8,,,,Albania
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,Albania
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,Albania
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,Albania
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,Albania
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,Albania
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,Albania
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,Albania
300691 - - Appliances identifiable for ostomy use,,10.00,10.00,1,,,,Albania
300692 - - Waste pharmaceuticals,,10.00,10.00,1,,,,Albania
,2017,,9.87,9.87,224,,,,Albania
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,Albania
300190 - Other,,10.00,10.00,3,,,,Albania
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,Albania
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,Albania
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Albania
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Albania
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Albania
300219 - - Other,,10.00,10.00,1,,,,Albania
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,Albania
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,Albania
