Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"104,724,383",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,0.00,0.00,55,,,,"Saudi Arabia, Kingdom of"
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,"Saudi Arabia, Kingdom of"
300190 - Other,,0.00,0.00,3,,,,"Saudi Arabia, Kingdom of"
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300219 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300290 - Other,,0.00,0.00,4,,,,"Saudi Arabia, Kingdom of"
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300331 - - Containing insulin,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300339 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300349 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300390 - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300431 - - Containing insulin,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300439 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300449 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300490 - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
300590 - Other,,0.00,0.00,4,,,,"Saudi Arabia, Kingdom of"
