Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
India,"16,425,887",,,,,,,Japan
,2018,,8.83,8.83,603,1,,,Japan
850110 - Motors of an output not exceeding 37.5 W,,10.00,10.00,5,,,,Japan
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,10.00,10.00,1,,,,Japan
850131 - - Of an output not exceeding 750 W,,10.00,10.00,5,,,,Japan
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,10.00,10.00,2,,,,Japan
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,10.00,10.00,2,,,,Japan
850134 - - Of an output exceeding 375 kW,,10.00,10.00,5,,,,Japan
"850140 - Other AC motors, single-phase",,10.00,10.00,2,,,,Japan
850151 - - Of an output not exceeding 750 W,,10.00,10.00,3,,,,Japan
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,10.00,10.00,3,,,,Japan
850153 - - Of an output exceeding 75 kW,,10.00,10.00,4,,,,Japan
850161 - - Of an output not exceeding 75 kVA,,10.00,10.00,1,,,,Japan
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,10.00,10.00,1,,,,Japan
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,10.00,10.00,1,,,,Japan
850164 - - Of an output exceeding 750 kVA,,10.00,10.00,8,,,,Japan
850211 - - Of an output not exceeding 75 kVA,,10.00,10.00,1,,,,Japan
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,10.00,10.00,1,,,,Japan
850213 - - Of an output exceeding 375 kVA,,10.00,10.00,6,,,,Japan
850220 - Generating sets with spark-ignition internal combustion piston engines,,10.00,10.00,2,,,,Japan
850231 - - Wind-powered,,10.00,10.00,1,,,,Japan
850239 - - Other,,10.00,10.00,3,,,,Japan
850240 - Electric rotary converters,,7.50,7.50,1,,,,Japan
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,9.38,9.38,4,,,,Japan
850410 - Ballasts for discharge lamps or tubes,,10.00,10.00,3,,,,Japan
850421 - - Having a power handling capacity not exceeding 650 kVA,,10.00,10.00,1,,,,Japan
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,10.00,10.00,1,,,,Japan
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,10.00,10.00,4,,,,Japan
850431 - - Having a power handling capacity not exceeding 1 kVA,,10.00,10.00,1,,,,Japan
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,10.00,10.00,1,,,,Japan
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,10.00,10.00,1,,,,Japan
850434 - - Having a power handling capacity exceeding 500 kVA,,10.00,10.00,1,,,,Japan
850440 - Static converters,,14.17,14.17,6,,,,Japan
850450 - Other inductors,,7.50,7.50,2,,,,Japan
850490 - Parts,,10.00,10.00,2,,,,Japan
850511 - - Of metal,,7.50,7.50,2,,,,Japan
850519 - - Other,,7.50,7.50,1,,,,Japan
"850520 - Electro-magnetic couplings, clutches and brakes",,7.50,7.50,1,,,,Japan
"850590 - Other, including parts",,7.50,7.50,1,,,,Japan
850610 - Manganese dioxide,,15.00,15.00,1,,,,Japan
850630 - Mercuric oxide,,15.00,15.00,1,,,,Japan
850640 - Silver oxide,,15.00,15.00,1,,,,Japan
850650 - Lithium,,15.00,15.00,1,,,,Japan
850660 - Air-zinc,,15.00,15.00,1,,,,Japan
850680 - Other primary cells and primary batteries,,15.00,15.00,2,,,,Japan
850690 - Parts,,10.00,10.00,1,,,,Japan
"850710 - Lead-acid, of a kind used for starting piston engines",,15.00,15.00,1,,,,Japan
850720 - Other lead-acid accumulators,,15.00,15.00,1,,,,Japan
850730 - Nickel-cadmium,,15.00,15.00,1,,,,Japan
850740 - Nickel-iron,,15.00,15.00,1,,,,Japan
850750 - Nickel-metal hydride,,15.00,15.00,1,,,,Japan
850760 - Lithium-ion,,20.00,20.00,1,,,,Japan
850780 - Other accumulators,,15.00,15.00,1,,,,Japan
850790 - Parts,,10.00,10.00,2,,,,Japan
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,10.00,10.00,1,,,,Japan
850819 - - Other,,10.00,10.00,1,,,,Japan
850860 - Other vacuum cleaners,,10.00,10.00,1,,,,Japan
850870 - Parts,,10.00,10.00,1,,,,Japan
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,10.00,10.00,2,,,,Japan
850980 - Other appliances,,10.00,10.00,1,,,,Japan
850990 - Parts,,10.00,10.00,1,,,,Japan
851010 - Shavers,,10.00,10.00,1,,,,Japan
851020 - Hair clippers,,10.00,10.00,1,,,,Japan
851030 - Hair-removing appliances,,10.00,10.00,1,,,,Japan
851090 - Parts,,10.00,10.00,1,,,,Japan
851110 - Sparking plugs,,15.00,15.00,1,,,,Japan
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,15.00,15.00,2,,,,Japan
851130 - Distributors; ignition coils,,15.00,15.00,2,,,,Japan
851140 - Starter motors and dual purpose starter-generators,,15.00,15.00,1,,,,Japan
851150 - Other generators,,15.00,15.00,1,,,,Japan
851180 - Other equipment,,15.00,15.00,1,,,,Japan
851190 - Parts,,15.00,15.00,1,,,,Japan
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,10.00,10.00,1,,,,Japan
851220 - Other lighting or visual signalling equipment,,9.17,9.17,3,,,,Japan
851230 - Sound signalling equipment,,8.75,8.75,2,,,,Japan
"851240 - Windscreen wipers, defrosters and demisters",,10.00,10.00,1,,,,Japan
851290 - Parts,,7.50,7.50,1,,,,Japan
851310 - Lamps,,8.00,8.00,5,,,,Japan
851390 - Parts,,7.50,7.50,1,,,,Japan
851410 - Resistance heated furnaces and ovens,,7.50,7.50,1,,,,Japan
851420 - Furnaces and ovens functioning by induction or dielectric loss,,7.50,7.50,1,,,,Japan
851430 - Other furnaces and ovens,,7.50,7.50,2,,,,Japan
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,7.50,7.50,1,,,,Japan
851490 - Parts,,7.50,7.50,1,,,,Japan
851511 - - Soldering irons and guns,,7.50,7.50,1,,,,Japan
851519 - - Other,,7.50,7.50,1,,,,Japan
851521 - - Fully or partly automatic,,7.50,7.50,3,,,,Japan
851529 - - Other,,7.50,7.50,1,,,,Japan
851531 - - Fully or partly automatic,,7.50,7.50,1,,,,Japan
851539 - - Other,,7.50,7.50,3,,,,Japan
851580 - Other machines and apparatus,,7.50,7.50,2,,,,Japan
851590 - Parts,,7.50,7.50,1,,,,Japan
851610 - Electric instantaneous or storage water heaters and immersion heaters,,10.00,10.00,1,,,,Japan
851621 - - Storage heating radiators,,10.00,10.00,1,,,,Japan
851629 - - Other,,10.00,10.00,1,,,,Japan
851631 - - Hair dryers,,10.00,10.00,1,,,,Japan
851632 - - Other hair-dressing apparatus,,10.00,10.00,1,,,,Japan
851633 - - Hand-drying apparatus,,10.00,10.00,1,,,,Japan
851640 - Electric smoothing irons,,10.00,10.00,1,,,,Japan
851650 - Microwave ovens,,20.00,20.00,1,,,,Japan
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,10.00,10.00,1,,,,Japan
851671 - - Coffee or tea makers,,10.00,10.00,1,,,,Japan
851672 - - Toasters,,10.00,10.00,1,,,,Japan
851679 - - Other,,10.00,10.00,3,,,,Japan
851680 - Electric heating resistors,,10.00,10.00,1,,,,Japan
851690 - Parts,,10.00,10.00,1,,,,Japan
851711 - - Line telephone sets with cordless handsets,,0.00,0.00,2,,,,Japan
851712 - - Telephones for cellular networks or for other wireless networks,,20.00,20.00,2,,,,Japan
851718 - - Other,,0.00,0.00,2,,,,Japan
851761 - - Base stations,,10.00,10.00,1,,,,Japan
"851762 - - Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,2.50,2.50,8,,,,Japan
851769 - - Other,,1.25,1.25,8,,,,Japan
851770 - Parts,,7.50,7.50,2,,,,Japan
851810 - Microphones and stands therefor,,15.00,15.00,1,,,,Japan
"851821 - - Single loudspeakers, mounted in their enclosures",,10.00,10.00,1,,,,Japan
