Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
India,"308,422",,,,,,,Ukraine
,2018,,47.44,47.44,41,,,,Ukraine
170112 - - Beet sugar,,100.00,100.00,1,,,,Ukraine
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,100.00,100.00,3,,,,Ukraine
170114 - - Other cane sugar,,100.00,100.00,3,,,,Ukraine
170191 - - Containing added flavouring or colouring matter,,100.00,100.00,1,,,,Ukraine
170199 - - Other,,100.00,100.00,2,,,,Ukraine
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,Ukraine
170219 - - Other,,30.00,30.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,30.00,30.00,1,,,,Ukraine
170390 - Other,,30.00,30.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2017,,35.37,35.37,41,,,,Ukraine
170112 - - Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 - - Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 - - Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 - - Other,,60.00,60.00,2,,,,Ukraine
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 - - Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2016,,35.37,35.37,41,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 -- Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2015,,35.37,35.37,41,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 -- Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2014,,35.37,35.37,41,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 -- Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2013,,35.37,35.37,41,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 -- Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2012,303,35.37,35.37,41,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 -- Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,303,30.00,30.00,4,,,,Ukraine
,2011,,35.37,35.37,41,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,Ukraine
170114 -- Other cane sugar,,60.00,60.00,3,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2010,,33.42,33.42,38,,,,Ukraine
170111 -- Cane sugar,,60.00,60.00,3,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2009,"21,888",40.90,40.90,39,,,,Ukraine
170111 -- Cane sugar,,100.00,100.00,3,,,,Ukraine
170112 -- Beet sugar,,100.00,100.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,100.00,100.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","21,888",30.00,30.00,2,,,,Ukraine
170219 -- Other,,30.00,30.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,30.00,30.00,1,,,,Ukraine
170390 - Other,,30.00,30.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,33.00,33.00,5,,,,Ukraine
,2008,,33.42,33.42,38,,,,Ukraine
170111 -- Cane sugar,,60.00,60.00,3,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2007,"79,727",33.42,33.42,38,,,,Ukraine
170111 -- Cane sugar,,60.00,60.00,3,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","79,727",25.00,25.00,2,,,,Ukraine
170219 -- Other,,25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2006,"166,232",33.42,33.42,38,,,,Ukraine
170111 -- Cane sugar,,60.00,60.00,3,,,,Ukraine
170112 -- Beet sugar,,60.00,60.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,Ukraine
170199 -- Other,,60.00,60.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","49,436",25.00,25.00,2,,,,Ukraine
170219 -- Other,"116,796",25.00,25.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,10.00,10.00,1,,,,Ukraine
170390 - Other,,10.00,10.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2005,,43.29,43.29,38,,,,Ukraine
170111 -- Cane sugar,,100.00,100.00,3,,,,Ukraine
170112 -- Beet sugar,,100.00,100.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,100.00,100.00,1,,,,Ukraine
170199 -- Other,,100.00,100.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,Ukraine
170219 -- Other,,30.00,30.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,30.00,30.00,1,,,,Ukraine
170390 - Other,,30.00,30.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2004,,43.29,43.29,38,,,,Ukraine
170111 -- Cane sugar,,100.00,100.00,3,,,,Ukraine
170112 -- Beet sugar,,100.00,100.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,100.00,100.00,1,,,,Ukraine
170199 -- Other,,100.00,100.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,Ukraine
170219 -- Other,,30.00,30.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,30.00,30.00,1,,,,Ukraine
170390 - Other,,30.00,30.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2003,,43.29,43.29,38,,,,Ukraine
170111 -- Cane sugar,,100.00,100.00,3,,,,Ukraine
170112 -- Beet sugar,,100.00,100.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,100.00,100.00,1,,,,Ukraine
170199 -- Other,,100.00,100.00,2,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,Ukraine
170219 -- Other,,30.00,30.00,2,,,,Ukraine
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,Ukraine
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,30.00,30.00,4,,,,Ukraine
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,Ukraine
170250 - Chemically pure fructose,,30.00,30.00,1,,,,Ukraine
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,Ukraine
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,30.00,30.00,6,,,,Ukraine
170310 - Cane molasses,,30.00,30.00,1,,,,Ukraine
170390 - Other,,30.00,30.00,2,,,,Ukraine
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,Ukraine
170490 - Other,,30.00,30.00,4,,,,Ukraine
,2002,"4,528",48.44,48.44,16,,,,Ukraine
170111 -- Cane sugar,,100.00,100.00,1,,,,Ukraine
170112 -- Beet sugar,,100.00,100.00,1,,,,Ukraine
170191 -- Containing added flavouring or colouring matter,,100.00,100.00,1,,,,Ukraine
170199 -- Other,,100.00,100.00,1,,,,Ukraine
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,1,,,,Ukraine
170219 -- Other,,30.00,30.00,1,,,,Ukraine
