Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"1,264,916,403",,,,,,,India
,2018,,6.84,5.24,44,39,14,12,India
170112 - - Beet sugar,,,,2,2,,,India
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,India
170114 - - Other cane sugar,,,,2,2,,,India
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,India
170199 - - Other,,,,2,2,,,India
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,India
170219 - - Other,,,,1,1,,,India
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,India
170250 - Chemically pure fructose,,,,1,1,1,1,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,8.90,8,7,1,,India
170310 - Cane molasses,,0.00,0.00,1,,,,India
170390 - Other,,0.00,0.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,India
170490 - Other,,13.40,9.30,10,9,10,9,India
,2017,"27,372,892",6.84,5.24,44,39,14,12,India
170112 - - Beet sugar,"11,617",,,2,2,,,India
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,"107,811",,,2,2,,,India
170114 - - Other cane sugar,"528,304",,,2,2,,,India
170191 - - Containing added flavouring or colouring matter,"368,032",,,1,1,,,India
170199 - - Other,"15,874,940",,,2,2,,,India
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",43,,,1,1,,,India
170219 - - Other,"10,225",,,1,1,,,India
170220 - Maple sugar and maple syrup,552,8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","214,124",,,3,3,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",47,,,2,2,,,India
170250 - Chemically pure fructose,212,,,1,1,1,1,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",2,,,3,3,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","550,345",12.80,8.90,8,7,1,,India
170310 - Cane molasses,"6,833,139",0.00,0.00,1,,,,India
170390 - Other,"120,767",0.00,0.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated","12,760",,,2,2,2,2,India
170490 - Other,"2,739,971",13.40,9.30,10,9,10,9,India
,2016,"63,559,769",6.84,5.24,44,39,14,12,India
170112 -- Beet sugar,"20,620",,,2,2,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"34,026",,,2,2,,,India
170114 -- Other cane sugar,"285,246",,,2,2,,,India
170191 -- Containing added flavouring or colouring matter,"315,175",,,1,1,,,India
170199 -- Other,"20,145,336",,,2,2,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,911",,,1,1,,,India
170219 -- Other,"8,794",,,1,1,,,India
170220 - Maple sugar and maple syrup,737,8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","59,103",,,3,3,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",470,,,2,2,,,India
170250 - Chemically pure fructose,97,,,1,1,1,1,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","1,927",,,3,3,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","431,701",12.80,8.90,8,7,1,,India
170310 - Cane molasses,"39,342,541",0.00,0.00,1,,,,India
170390 - Other,"53,651",0.00,0.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated","4,488",,,2,2,2,2,India
170490 - Other,"2,852,948",13.40,9.30,10,9,10,9,India
,2015,"68,175,734",6.84,5.24,44,39,14,12,India
170112 -- Beet sugar,"43,412",,,2,2,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"29,361",,,2,2,,,India
170114 -- Other cane sugar,"1,447,201",,,2,2,,,India
170191 -- Containing added flavouring or colouring matter,"281,131",,,1,1,,,India
170199 -- Other,"12,254,860",,,2,2,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,318",,,1,1,,,India
170219 -- Other,"47,221",,,1,1,,,India
170220 - Maple sugar and maple syrup,"6,565",8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","20,368",,,3,3,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","2,017",,,2,2,,,India
170250 - Chemically pure fructose,,,,1,1,1,1,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",233,,,3,3,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","361,190",12.80,8.90,8,7,1,,India
170310 - Cane molasses,"50,727,152",0.00,0.00,1,,,,India
170390 - Other,"13,321",0.00,0.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated","60,869",,,2,2,2,2,India
170490 - Other,"2,878,516",13.40,9.30,10,9,10,9,India
,2014,"78,509,603",6.84,5.24,44,39,14,12,India
170112 -- Beet sugar,"32,721",,,2,2,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"30,175",,,2,2,,,India
170114 -- Other cane sugar,"250,247",,,2,2,,,India
170191 -- Containing added flavouring or colouring matter,"310,332",,,1,1,,,India
170199 -- Other,"12,267,414",,,2,2,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",202,,,1,1,,,India
170219 -- Other,"16,743",,,1,1,,,India
170220 - Maple sugar and maple syrup,"20,856",8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","27,412",,,3,3,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","1,807",,,2,2,,,India
170250 - Chemically pure fructose,754,,,1,1,1,1,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","487,993",12.80,8.90,8,7,1,,India
170310 - Cane molasses,"61,953,264",0.00,0.00,1,,,,India
170390 - Other,"123,008",0.00,0.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated","8,742",,,2,2,2,2,India
170490 - Other,"2,977,933",13.40,9.30,10,9,10,9,India
,2013,"101,193,980",6.84,5.24,44,39,14,12,India
170112 -- Beet sugar,"64,295",,,2,2,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"76,361",,,2,2,,,India
170114 -- Other cane sugar,"1,454,813",,,2,2,,,India
170191 -- Containing added flavouring or colouring matter,"155,352",,,1,1,,,India
170199 -- Other,"13,174,347",,,2,2,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",474,,,1,1,,,India
170219 -- Other,"20,417",,,1,1,,,India
170220 - Maple sugar and maple syrup,"10,398",8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","53,165",,,3,3,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","9,934",,,2,2,,,India
170250 - Chemically pure fructose,571,,,1,1,1,1,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","556,494",12.80,8.90,8,7,1,,India
170310 - Cane molasses,"79,992,220",0.00,0.00,1,,,,India
170390 - Other,"3,591,979",0.00,0.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated","7,300",,,2,2,2,2,India
170490 - Other,"2,025,861",13.40,9.30,10,9,10,9,India
,2012,"131,212,685",6.84,5.24,44,39,14,12,India
170112 -- Beet sugar,"74,242",,,2,2,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"24,319",,,2,2,,,India
170114 -- Other cane sugar,"400,761",,,2,2,,,India
170191 -- Containing added flavouring or colouring matter,"5,231",,,1,1,,,India
170199 -- Other,"15,663,524",,,2,2,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",91,,,1,1,,,India
170219 -- Other,"82,528",,,1,1,,,India
170220 - Maple sugar and maple syrup,450,8.00,8.00,2,1,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","24,627",,,3,3,,,India
