Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"925,484,519",,,,,,,"Korea, Republic of"
,2018,,2.75,0.00,23,,20,,"Korea, Republic of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,"Korea, Republic of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,"Korea, Republic of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,"Korea, Republic of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,"Korea, Republic of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,"Korea, Republic of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,"Korea, Republic of"
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,"Korea, Republic of"
880390 - Other,,1.56,0.00,5,,4,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,"Korea, Republic of"
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Korea, Republic of"
880529 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
,2017,"116,214,420",2.80,0.00,23,,20,,"Korea, Republic of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",427,3.20,0.00,2,,2,,"Korea, Republic of"
"880211 - - Of an unladen weight not exceeding 2,000 kg","56,520",7.50,0.00,1,,1,,"Korea, Republic of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,"Korea, Republic of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","178,674",7.70,0.00,1,,1,,"Korea, Republic of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",37,2.70,0.00,1,,1,,"Korea, Republic of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","81,406,518",2.70,0.00,1,,1,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,"Korea, Republic of"
880310 - Propellers and rotors and parts thereof,"155,149",2.70,0.00,1,,1,,"Korea, Republic of"
880320 - Under-carriages and parts thereof,"2,298,272",2.70,0.00,1,,1,,"Korea, Republic of"
880330 - Other parts of aeroplanes or helicopters,"29,535,568",2.70,0.00,1,,1,,"Korea, Republic of"
880390 - Other,"114,084",1.56,0.00,5,,4,,"Korea, Republic of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"2,431,186",2.70,0.00,1,,1,,"Korea, Republic of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,"Korea, Republic of"
880521 - - Air combat simulators and parts thereof,992,0.00,0.00,1,,,,"Korea, Republic of"
880529 - - Other,"36,992",0.00,0.00,1,,,,"Korea, Republic of"
,2016,"63,114,775",3.07,0.00,21,,21,,"Korea, Republic of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","8,497",3.20,0.00,2,,2,,"Korea, Republic of"
"880211 -- Of an unladen weight not exceeding 2,000 kg","1,750",7.50,0.00,1,,1,,"Korea, Republic of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,"Korea, Republic of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,"Korea, Republic of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,"Korea, Republic of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","10,133,305",2.70,0.00,1,,1,,"Korea, Republic of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,"Korea, Republic of"
