Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
European Union,"2,036,507",,,,,,,Cambodia
,2018,,0.00,0.00,55,,,,Cambodia
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Cambodia
300190 - Other,,0.00,0.00,3,,,,Cambodia
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,Cambodia
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,Cambodia
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Cambodia
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Cambodia
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Cambodia
300219 - - Other,,0.00,0.00,1,,,,Cambodia
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Cambodia
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Cambodia
300290 - Other,,0.00,0.00,4,,,,Cambodia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Cambodia
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,Cambodia
300331 - - Containing insulin,,0.00,0.00,1,,,,Cambodia
300339 - - Other,,0.00,0.00,1,,,,Cambodia
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Cambodia
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300349 - - Other,,0.00,0.00,1,,,,Cambodia
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Cambodia
300390 - Other,,0.00,0.00,1,,,,Cambodia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Cambodia
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,Cambodia
300431 - - Containing insulin,,0.00,0.00,1,,,,Cambodia
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Cambodia
300439 - - Other,,0.00,0.00,1,,,,Cambodia
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Cambodia
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300449 - - Other,,0.00,0.00,1,,,,Cambodia
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Cambodia
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Cambodia
300490 - Other,,0.00,0.00,1,,,,Cambodia
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,Cambodia
300590 - Other,,0.00,0.00,4,,,,Cambodia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,Cambodia
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Cambodia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Cambodia
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Cambodia
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Cambodia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Cambodia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Cambodia
300691 - - Appliances identifiable for ostomy use,,0.00,0.00,1,,,,Cambodia
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,Cambodia
,2017,"587,881",0.00,0.00,55,,,,Cambodia
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Cambodia
300190 - Other,7,0.00,0.00,3,,,,Cambodia
300211 - - Malaria diagnostic test kits,1,0.00,0.00,1,,,,Cambodia
300212 - - Antisera and other blood fractions,"4,115",0.00,0.00,1,,,,Cambodia
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",1,0.00,0.00,1,,,,Cambodia
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",59,0.00,0.00,1,,,,Cambodia
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",366,0.00,0.00,1,,,,Cambodia
300219 - - Other,"7,421",0.00,0.00,1,,,,Cambodia
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Cambodia
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Cambodia
300290 - Other,"10,665",0.00,0.00,4,,,,Cambodia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Cambodia
"300320 - Other, containing antibiotics",5,0.00,0.00,1,,,,Cambodia
300331 - - Containing insulin,,0.00,0.00,1,,,,Cambodia
300339 - - Other,,0.00,0.00,1,,,,Cambodia
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Cambodia
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300349 - - Other,,0.00,0.00,1,,,,Cambodia
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Cambodia
300390 - Other,87,0.00,0.00,1,,,,Cambodia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",1,0.00,0.00,1,,,,Cambodia
"300420 - Other, containing antibiotics",2,0.00,0.00,1,,,,Cambodia
300431 - - Containing insulin,1,0.00,0.00,1,,,,Cambodia
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",3,0.00,0.00,1,,,,Cambodia
300439 - - Other,264,0.00,0.00,1,,,,Cambodia
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Cambodia
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Cambodia
300449 - - Other,3,0.00,0.00,1,,,,Cambodia
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Cambodia
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Cambodia
300490 - Other,"4,878",0.00,0.00,1,,,,Cambodia
300510 - Adhesive dressings and other articles having an adhesive layer,"61,157",0.00,0.00,1,,,,Cambodia
300590 - Other,"22,608",0.00,0.00,4,,,,Cambodia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",62,0.00,0.00,3,,,,Cambodia
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Cambodia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Cambodia
300640 - Dental cements and other dental fillings; bone reconstruction cements,"471,021",0.00,0.00,1,,,,Cambodia
300650 - First-aid boxes and kits,"4,863",0.00,0.00,1,,,,Cambodia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Cambodia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Cambodia
300691 - - Appliances identifiable for ostomy use,291,0.00,0.00,1,,,,Cambodia
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,Cambodia
,2016,"464,629",0.00,0.00,50,,,,Cambodia
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Cambodia
300190 - Other,,0.00,0.00,3,,,,Cambodia
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","6,356",0.00,0.00,3,,,,Cambodia
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Cambodia
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Cambodia
300290 - Other,"8,798",0.00,0.00,4,,,,Cambodia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Cambodia
300320 - Containing other antibiotics,,0.00,0.00,1,,,,Cambodia
300331 -- Containing insulin,,0.00,0.00,1,,,,Cambodia
300339 -- Other,,0.00,0.00,1,,,,Cambodia
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,0.00,0.00,4,,,,Cambodia
300390 - Other,,0.00,0.00,1,,,,Cambodia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Cambodia
300420 - Containing other antibiotics,,0.00,0.00,1,,,,Cambodia
300431 -- Containing insulin,,0.00,0.00,1,,,,Cambodia
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Cambodia
