Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Brazil,"15,875,258,348",,,,,,,European Union
,2018,,7.89,7.89,403,,,,European Union
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,European Union
300190 - Other,,4.00,4.00,5,,,,European Union
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,European Union
300212 - - Antisera and other blood fractions,,3.37,3.37,19,,,,European Union
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,European Union
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,2,,,,European Union
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.67,0.67,3,,,,European Union
300219 - - Other,,2.00,2.00,1,,,,European Union
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,European Union
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,European Union
300290 - Other,,6.25,6.25,8,,,,European Union
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,European Union
"300320 - Other, containing antibiotics",,6.69,6.69,26,,,,European Union
300331 - - Containing insulin,,14.00,14.00,1,,,,European Union
300339 - - Other,,7.25,7.25,32,,,,European Union
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,European Union
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,European Union
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,European Union
300349 - - Other,,7.33,7.33,6,,,,European Union
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,European Union
300390 - Other,,10.49,10.49,73,,,,European Union
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,European Union
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,European Union
300431 - - Containing insulin,,14.00,14.00,1,,,,European Union
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,European Union
300439 - - Other,,7.06,7.06,32,,,,European Union
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,European Union
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,European Union
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,European Union
300449 - - Other,,7.33,7.33,6,,,,European Union
"300450 - Other, containing vitamins or other products of heading 29.36",,10.57,10.57,7,,,,European Union
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,European Union
300490 - Other,,10.34,10.34,65,,,,European Union
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,European Union
300590 - Other,,8.00,8.00,5,,,,European Union
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,European Union
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,European Union
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,4.00,4.00,10,,,,European Union
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,European Union
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,European Union
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,European Union
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,European Union
300691 - - Appliances identifiable for ostomy use,,12.00,12.00,2,,,,European Union
300692 - - Waste pharmaceuticals,,14.00,14.00,1,,,,European Union
,2017,"1,194,961,175",7.91,7.91,401,,,,European Union
300120 - Extracts of glands or other organs or of their secretions,792,6.00,6.00,2,,,,European Union
300190 - Other,"717,824",4.00,4.00,5,,,,European Union
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,European Union
300212 - - Antisera and other blood fractions,"63,454,050",3.37,3.37,19,,,,European Union
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale","265,050",2.00,2.00,1,,,,European Union
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","2,886,651",2.00,2.00,2,,,,European Union
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale","271,497,010",0.67,0.67,3,,,,European Union
300219 - - Other,"1,947,019",2.00,2.00,1,,,,European Union
300220 - Vaccines for human medicine,"114,361,688",2.22,2.22,18,,,,European Union
300230 - Vaccines for veterinary medicine,"63,297,750",3.78,3.78,9,,,,European Union
300290 - Other,"13,163,290",6.25,6.25,8,,,,European Union
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,European Union
"300320 - Other, containing antibiotics","203,720",6.69,6.69,26,,,,European Union
300331 - - Containing insulin,,14.00,14.00,1,,,,European Union
300339 - - Other,,7.25,7.25,32,,,,European Union
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,European Union
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,European Union
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,European Union
300349 - - Other,,7.33,7.33,6,,,,European Union
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,European Union
300390 - Other,"6,499,103",10.53,10.53,72,,,,European Union
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","12,526",11.43,11.43,7,,,,European Union
"300420 - Other, containing antibiotics","55,520,934",6.69,6.69,26,,,,European Union
300431 - - Containing insulin,"6,612,558",14.00,14.00,1,,,,European Union
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues","258,422",12.00,12.00,3,,,,European Union
300439 - - Other,"37,716,937",7.06,7.06,32,,,,European Union
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,European Union
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,European Union
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,European Union
300449 - - Other,"5,492,369",7.33,7.33,6,,,,European Union
"300450 - Other, containing vitamins or other products of heading 29.36","3,157,165",9.43,9.43,7,,,,European Union
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",220,8.00,8.00,1,,,,European Union
300490 - Other,"495,059,981",10.81,10.81,64,,,,European Union
300510 - Adhesive dressings and other articles having an adhesive layer,"8,669,380",8.67,8.67,6,,,,European Union
300590 - Other,"7,775,486",8.00,8.00,5,,,,European Union
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","14,592,784",5.33,5.33,3,,,,European Union
300620 - Blood-grouping reagents,"306,915",10.00,10.00,1,,,,European Union
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"12,479,025",2.80,2.80,10,,,,European Union
300640 - Dental cements and other dental fillings; bone reconstruction cements,"4,400,592",5.33,5.33,3,,,,European Union
300650 - First-aid boxes and kits,"22,772",14.00,14.00,1,,,,European Union
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","6,809",12.00,12.00,1,,,,European Union
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"608,987",14.00,14.00,1,,,,European Union
300691 - - Appliances identifiable for ostomy use,"3,973,366",12.00,12.00,2,,,,European Union
300692 - - Waste pharmaceuticals,,14.00,14.00,1,,,,European Union
,2016,"1,100,858,399",7.96,7.96,388,,,,European Union
300120 - Extracts of glands or other organs or of their secretions,"1,420",6.00,6.00,2,,,,European Union
300190 - Other,"574,408",4.00,4.00,5,,,,European Union
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","219,161,452",3.00,3.00,22,,,,European Union
300220 - Vaccines for human medicine,"138,142,456",2.22,2.22,18,,,,European Union
300230 - Vaccines for veterinary medicine,"57,972,649",3.78,3.78,9,,,,European Union
300290 - Other,"8,695,078",6.25,6.25,8,,,,European Union
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,European Union
300320 - Containing other antibiotics,"427,570",6.69,6.69,26,,,,European Union
300331 -- Containing insulin,,14.00,14.00,1,,,,European Union
300339 -- Other,,7.25,7.25,32,,,,European Union
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,7.33,7.33,6,,,,European Union
300390 - Other,"6,150,750",10.53,10.53,72,,,,European Union
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",102,11.43,11.43,7,,,,European Union
300420 - Containing other antibiotics,"68,021,328",6.69,6.69,26,,,,European Union
300431 -- Containing insulin,"6,794,723",14.00,14.00,1,,,,European Union
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","248,094",12.00,12.00,3,,,,European Union
300439 -- Other,"37,015,664",7.06,7.06,32,,,,European Union
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","2,540,236",7.33,7.33,6,,,,European Union
300450 - Other medicaments containing vitamins or other products of heading 29.36,"3,627,626",9.43,9.43,7,,,,European Union
300490 - Other,"503,889,653",10.50,10.50,64,,,,European Union
300510 - Adhesive dressings and other articles having an adhesive layer,"7,111,597",8.67,8.67,6,,,,European Union
300590 - Other,"7,286,615",8.00,8.00,5,,,,European Union
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","12,851,727",5.33,5.33,3,,,,European Union
300620 - Blood-grouping reagents,"230,887",10.00,10.00,1,,,,European Union
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"12,315,832",4.00,4.00,10,,,,European Union
300640 - Dental cements and other dental fillings; bone reconstruction cements,"3,117,030",5.33,5.33,3,,,,European Union
300650 - First-aid boxes and kits,"28,158",14.00,14.00,1,,,,European Union
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","93,548",12.00,12.00,1,,,,European Union
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"980,233",14.00,14.00,1,,,,European Union
300691 -- Appliances identifiable for ostomy use,"3,579,563",12.00,12.00,2,,,,European Union
300692 -- Waste pharmaceuticals,,14.00,14.00,1,,,,European Union
,2015,"1,176,683,122",7.96,7.96,388,,,,European Union
300120 - Extracts of glands or other organs or of their secretions,"2,868",6.00,6.00,2,,,,European Union
300190 - Other,"1,487,364",4.00,4.00,5,,,,European Union
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","245,783,162",3.00,3.00,22,,,,European Union
300220 - Vaccines for human medicine,"195,760,874",2.22,2.22,18,,,,European Union
300230 - Vaccines for veterinary medicine,"84,996,306",3.78,3.78,9,,,,European Union
300290 - Other,"10,175,831",6.25,6.25,8,,,,European Union
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,European Union
300320 - Containing other antibiotics,"416,545",6.69,6.69,26,,,,European Union
300331 -- Containing insulin,,14.00,14.00,1,,,,European Union
300339 -- Other,"2,950",7.25,7.25,32,,,,European Union
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,7.33,7.33,6,,,,European Union
300390 - Other,"6,824,380",10.53,10.53,72,,,,European Union
