Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
European Union,"2,815,295",,,,,,,Yemen
,2018,,6.84,0.00,44,39,42,,Yemen
170112 - - Beet sugar,,,0.00,2,2,2,,Yemen
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,Yemen
170114 - - Other cane sugar,,,0.00,2,2,2,,Yemen
170191 - - Containing added flavouring or colouring matter,,,0.00,1,1,1,,Yemen
170199 - - Other,,,0.00,2,2,2,,Yemen
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Yemen
170219 - - Other,,,0.00,1,1,1,,Yemen
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,Yemen
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,Yemen
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,0.00,2,2,2,,Yemen
170250 - Chemically pure fructose,,,0.00,1,1,1,,Yemen
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,0.00,3,3,3,,Yemen
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,8,,Yemen
170310 - Cane molasses,,0.00,0.00,1,,,,Yemen
170390 - Other,,0.00,0.00,1,,,,Yemen
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Yemen
170490 - Other,,13.40,0.00,10,9,10,,Yemen
,2017,"845,206",6.84,0.00,44,39,33,,Yemen
170112 - - Beet sugar,,,,2,2,,,Yemen
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Yemen
170114 - - Other cane sugar,,,,2,2,,,Yemen
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Yemen
170199 - - Other,9,,,2,2,,,Yemen
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Yemen
170219 - - Other,,,0.00,1,1,1,,Yemen
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,Yemen
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,Yemen
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,0.00,2,2,2,,Yemen
170250 - Chemically pure fructose,,,0.00,1,1,1,,Yemen
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,0.00,3,3,3,,Yemen
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,8,,Yemen
170310 - Cane molasses,"845,197",0.00,0.00,1,,,,Yemen
170390 - Other,,0.00,0.00,1,,,,Yemen
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Yemen
170490 - Other,,13.40,0.00,10,9,10,,Yemen
,2016,"119,846",6.84,0.00,44,39,42,,Yemen
170112 -- Beet sugar,,,0.00,2,2,2,,Yemen
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,Yemen
170114 -- Other cane sugar,,,0.00,2,2,2,,Yemen
170191 -- Containing added flavouring or colouring matter,,,0.00,1,1,1,,Yemen
170199 -- Other,,,0.00,2,2,2,,Yemen
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,Yemen
170219 -- Other,,,0.00,1,1,1,,Yemen
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,Yemen
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,Yemen
