Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Brazil,"8,784,927",,,,,,,India
,2018,,16.70,16.70,23,,,,India
170112 - - Beet sugar,,16.00,16.00,1,,,,India
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,India
170114 - - Other cane sugar,,16.00,16.00,1,,,,India
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,India
170199 - - Other,,16.00,16.00,1,,,,India
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,India
170219 - - Other,,16.00,16.00,1,,,,India
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,India
170250 - Chemically pure fructose,,16.00,16.00,1,,,,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,India
170310 - Cane molasses,,16.00,16.00,1,,,,India
170390 - Other,,16.00,16.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,India
170490 - Other,,20.00,20.00,3,,,,India
,2017,"245,784",16.70,16.70,23,,,,India
170112 - - Beet sugar,,16.00,16.00,1,,,,India
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,India
170114 - - Other cane sugar,,16.00,16.00,1,,,,India
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,India
170199 - - Other,,16.00,16.00,1,,,,India
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","244,019",16.00,16.00,1,,,,India
170219 - - Other,,16.00,16.00,1,,,,India
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",4,16.00,16.00,3,,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,India
170250 - Chemically pure fructose,,16.00,16.00,1,,,,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","1,128",16.00,16.00,1,,,,India
170310 - Cane molasses,,16.00,16.00,1,,,,India
170390 - Other,,16.00,16.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,India
170490 - Other,633,20.00,20.00,3,,,,India
,2016,"297,205",16.70,16.70,23,,,,India
170112 -- Beet sugar,,16.00,16.00,1,,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,India
170114 -- Other cane sugar,,16.00,16.00,1,,,,India
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,India
170199 -- Other,,16.00,16.00,1,,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","294,758",16.00,16.00,1,,,,India
170219 -- Other,,16.00,16.00,1,,,,India
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,India
170250 - Chemically pure fructose,,16.00,16.00,1,,,,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","2,014",16.00,16.00,2,,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",115,16.00,16.00,1,,,,India
170310 - Cane molasses,,16.00,16.00,1,,,,India
170390 - Other,,16.00,16.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,India
170490 - Other,318,20.00,20.00,3,,,,India
,2015,"67,186",16.70,16.70,23,,,,India
170112 -- Beet sugar,,16.00,16.00,1,,,,India
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,India
170114 -- Other cane sugar,,16.00,16.00,1,,,,India
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,India
170199 -- Other,"1,327",16.00,16.00,1,,,,India
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","61,565",16.00,16.00,1,,,,India
170219 -- Other,,16.00,16.00,1,,,,India
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,India
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,India
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,India
170250 - Chemically pure fructose,,16.00,16.00,1,,,,India
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",689,16.00,16.00,2,,,,India
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","2,567",16.00,16.00,1,,,,India
170310 - Cane molasses,,16.00,16.00,1,,,,India
170390 - Other,,16.00,16.00,1,,,,India
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,India
170490 - Other,"1,038",20.00,20.00,3,,,,India
,2014,"59,382",16.70,16.70,23,,,,India
