Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"366,697,708,623",,,,,,,United States of America
,2018,,0.00,0.00,55,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,United States of America
300190 - Other,,0.00,0.00,3,,,,United States of America
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,United States of America
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,United States of America
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,United States of America
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,United States of America
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,United States of America
300219 - - Other,,0.00,0.00,1,,,,United States of America
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,United States of America
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,United States of America
300290 - Other,,0.00,0.00,4,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,United States of America
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,United States of America
300331 - - Containing insulin,,0.00,0.00,1,,,,United States of America
300339 - - Other,,0.00,0.00,1,,,,United States of America
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,United States of America
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,United States of America
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,United States of America
300349 - - Other,,0.00,0.00,1,,,,United States of America
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,United States of America
300390 - Other,,0.00,0.00,1,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,United States of America
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,United States of America
300431 - - Containing insulin,,0.00,0.00,1,,,,United States of America
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,United States of America
300439 - - Other,,0.00,0.00,1,,,,United States of America
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,United States of America
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,United States of America
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,United States of America
300449 - - Other,,0.00,0.00,1,,,,United States of America
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,United States of America
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,United States of America
300490 - Other,,0.00,0.00,1,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,United States of America
300590 - Other,,0.00,0.00,4,,,,United States of America
