Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"3,872,674,613",,,,,,,"Korea, Republic of"
,2018,,0.00,0.00,55,,,,"Korea, Republic of"
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,"Korea, Republic of"
300190 - Other,,0.00,0.00,3,,,,"Korea, Republic of"
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,"Korea, Republic of"
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,"Korea, Republic of"
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,"Korea, Republic of"
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,"Korea, Republic of"
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,"Korea, Republic of"
300219 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,"Korea, Republic of"
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,"Korea, Republic of"
300290 - Other,,0.00,0.00,4,,,,"Korea, Republic of"
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,"Korea, Republic of"
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,"Korea, Republic of"
300331 - - Containing insulin,,0.00,0.00,1,,,,"Korea, Republic of"
300339 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,"Korea, Republic of"
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,"Korea, Republic of"
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,"Korea, Republic of"
300349 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,"Korea, Republic of"
300390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,"Korea, Republic of"
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,"Korea, Republic of"
300431 - - Containing insulin,,0.00,0.00,1,,,,"Korea, Republic of"
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,"Korea, Republic of"
300439 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,"Korea, Republic of"
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,"Korea, Republic of"
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,"Korea, Republic of"
300449 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,"Korea, Republic of"
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,"Korea, Republic of"
300490 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,"Korea, Republic of"
300590 - Other,,0.00,0.00,4,,,,"Korea, Republic of"
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,"Korea, Republic of"
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,"Korea, Republic of"
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,"Korea, Republic of"
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,"Korea, Republic of"
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,"Korea, Republic of"
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,"Korea, Republic of"
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,"Korea, Republic of"
300691 - - Appliances identifiable for ostomy use,,0.00,0.00,1,,,,"Korea, Republic of"
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,"Korea, Republic of"
,2017,"1,966,596,853",0.00,0.00,55,,,,"Korea, Republic of"
300120 - Extracts of glands or other organs or of their secretions,"50,238",0.00,0.00,2,,,,"Korea, Republic of"
300190 - Other,"1,183,433",0.00,0.00,3,,,,"Korea, Republic of"
300211 - - Malaria diagnostic test kits,"9,557",0.00,0.00,1,,,,"Korea, Republic of"
300212 - - Antisera and other blood fractions,"1,656,067",0.00,0.00,1,,,,"Korea, Republic of"
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale","4,416,890",0.00,0.00,1,,,,"Korea, Republic of"
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","1,242,453,308",0.00,0.00,1,,,,"Korea, Republic of"
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale","598,936,353",0.00,0.00,1,,,,"Korea, Republic of"
300219 - - Other,"353,288",0.00,0.00,1,,,,"Korea, Republic of"
300220 - Vaccines for human medicine,"2,632,997",0.00,0.00,1,,,,"Korea, Republic of"
