Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
India,"329,487,619",,,,,,,"Korea, Republic of"
,2018,,9.87,9.87,224,,,,"Korea, Republic of"
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,"Korea, Republic of"
300190 - Other,,10.00,10.00,3,,,,"Korea, Republic of"
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,"Korea, Republic of"
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,"Korea, Republic of"
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,"Korea, Republic of"
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,"Korea, Republic of"
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,"Korea, Republic of"
300219 - - Other,,10.00,10.00,1,,,,"Korea, Republic of"
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,"Korea, Republic of"
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,"Korea, Republic of"
300290 - Other,,10.00,10.00,5,,,,"Korea, Republic of"
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,"Korea, Republic of"
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,"Korea, Republic of"
300331 - - Containing insulin,,10.00,10.00,1,,,,"Korea, Republic of"
300339 - - Other,,10.00,10.00,1,,,,"Korea, Republic of"
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,"Korea, Republic of"
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,"Korea, Republic of"
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,"Korea, Republic of"
300349 - - Other,,10.00,10.00,1,,,,"Korea, Republic of"
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,"Korea, Republic of"
300390 - Other,,10.00,10.00,14,,,,"Korea, Republic of"
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,"Korea, Republic of"
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,"Korea, Republic of"
300431 - - Containing insulin,,10.00,10.00,2,,,,"Korea, Republic of"
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,"Korea, Republic of"
300439 - - Other,,10.00,10.00,8,,,,"Korea, Republic of"
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,"Korea, Republic of"
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,"Korea, Republic of"
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,"Korea, Republic of"
300449 - - Other,,10.00,10.00,8,,,,"Korea, Republic of"
