Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
European Union,"6,990,849",,,,,,,Albania
,2018,,0.00,0.00,55,,,,Albania
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Albania
300190 - Other,,0.00,0.00,3,,,,Albania
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,Albania
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,Albania
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Albania
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Albania
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Albania
300219 - - Other,,0.00,0.00,1,,,,Albania
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Albania
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Albania
300290 - Other,,0.00,0.00,4,,,,Albania
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Albania
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,Albania
300331 - - Containing insulin,,0.00,0.00,1,,,,Albania
300339 - - Other,,0.00,0.00,1,,,,Albania
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Albania
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Albania
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Albania
300349 - - Other,,0.00,0.00,1,,,,Albania
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Albania
300390 - Other,,0.00,0.00,1,,,,Albania
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Albania
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,Albania
300431 - - Containing insulin,,0.00,0.00,1,,,,Albania
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Albania
300439 - - Other,,0.00,0.00,1,,,,Albania
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Albania
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Albania
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Albania
300449 - - Other,,0.00,0.00,1,,,,Albania
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Albania
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Albania
300490 - Other,,0.00,0.00,1,,,,Albania
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,Albania
300590 - Other,,0.00,0.00,4,,,,Albania
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,Albania
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Albania
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Albania
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Albania
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Albania
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Albania
