Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"6,834,399,360",,,,,,,European Union
,2018,,9.87,9.87,224,,,,European Union
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,European Union
300190 - Other,,10.00,10.00,3,,,,European Union
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,European Union
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,European Union
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,European Union
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,European Union
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,European Union
300219 - - Other,,10.00,10.00,1,,,,European Union
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,European Union
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,European Union
300290 - Other,,10.00,10.00,5,,,,European Union
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,European Union
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,European Union
300331 - - Containing insulin,,10.00,10.00,1,,,,European Union
300339 - - Other,,10.00,10.00,1,,,,European Union
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,European Union
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,European Union
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,European Union
300349 - - Other,,10.00,10.00,1,,,,European Union
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,European Union
300390 - Other,,10.00,10.00,14,,,,European Union
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,European Union
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,European Union
