Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
India,"2,480,979,874",,,,,,,United States of America
,2018,,9.87,9.87,224,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,United States of America
300190 - Other,,10.00,10.00,3,,,,United States of America
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,United States of America
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,United States of America
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,United States of America
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,United States of America
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,United States of America
300219 - - Other,,10.00,10.00,1,,,,United States of America
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,United States of America
300290 - Other,,10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,United States of America
300331 - - Containing insulin,,10.00,10.00,1,,,,United States of America
300339 - - Other,,10.00,10.00,1,,,,United States of America
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,United States of America
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,United States of America
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,United States of America
300349 - - Other,,10.00,10.00,1,,,,United States of America
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,United States of America
300390 - Other,,10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,United States of America
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,United States of America
300431 - - Containing insulin,,10.00,10.00,2,,,,United States of America
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,United States of America
300439 - - Other,,10.00,10.00,8,,,,United States of America
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,United States of America
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,United States of America
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,United States of America
300449 - - Other,,10.00,10.00,8,,,,United States of America
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,United States of America
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,United States of America
300490 - Other,,10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,United States of America
300590 - Other,,10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,United States of America
300691 - - Appliances identifiable for ostomy use,,10.00,10.00,1,,,,United States of America
300692 - - Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2017,,9.87,9.87,224,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,United States of America
300190 - Other,,10.00,10.00,3,,,,United States of America
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,United States of America
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,United States of America
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,United States of America
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,United States of America
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,United States of America
300219 - - Other,,10.00,10.00,1,,,,United States of America
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,United States of America
300290 - Other,,10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,United States of America
300331 - - Containing insulin,,10.00,10.00,1,,,,United States of America
300339 - - Other,,10.00,10.00,1,,,,United States of America
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,United States of America
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,United States of America
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,United States of America
300349 - - Other,,10.00,10.00,1,,,,United States of America
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,United States of America
300390 - Other,,10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,United States of America
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,United States of America
300431 - - Containing insulin,,10.00,10.00,2,,,,United States of America
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,United States of America
300439 - - Other,,10.00,10.00,8,,,,United States of America
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,United States of America
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,United States of America
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,United States of America
300449 - - Other,,10.00,10.00,8,,,,United States of America
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,United States of America
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,United States of America
300490 - Other,,10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,,10.00,10.00,3,,,,United States of America
300590 - Other,,10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,,10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,,10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,10.00,10.00,1,,,,United States of America
300691 - - Appliances identifiable for ostomy use,,10.00,10.00,1,,,,United States of America
300692 - - Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2016,"298,352,925",9.86,9.86,214,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,"56,927",10.00,10.00,4,,,,United States of America
300190 - Other,"392,186",10.00,10.00,3,,,,United States of America
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","61,251,033",10.00,10.00,8,,,,United States of America
300220 - Vaccines for human medicine,"29,141,530",10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,"2,791,508",10.00,10.00,1,,,,United States of America
300290 - Other,"17,190,307",10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
300320 - Containing other antibiotics,"41,462",10.00,10.00,1,,,,United States of America
300331 -- Containing insulin,,10.00,10.00,1,,,,United States of America
300339 -- Other,"29,368",10.00,10.00,1,,,,United States of America
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,10.00,10.00,1,,,,United States of America
300390 - Other,"446,931",10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","10,184,753",10.00,10.00,8,,,,United States of America
300420 - Containing other antibiotics,"8,947,196",10.00,10.00,29,,,,United States of America
300431 -- Containing insulin,"1,473,278",10.00,10.00,2,,,,United States of America
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","497,127",10.00,10.00,1,,,,United States of America
300439 -- Other,"21,935,004",10.00,10.00,8,,,,United States of America
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","3,501,738",10.00,10.00,8,,,,United States of America
300450 - Other medicaments containing vitamins or other products of heading 29.36,"1,257,982",10.00,10.00,11,,,,United States of America
300490 - Other,"118,331,969",10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,"1,242,080",10.00,10.00,3,,,,United States of America
300590 - Other,"5,284,057",10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","6,362,406",10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,"1,706,009",10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"1,648",10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,"3,776,468",10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,"87,263",10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","302,281",0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"1,478,183",10.00,10.00,1,,,,United States of America
300691 -- Appliances identifiable for ostomy use,"642,231",10.00,10.00,1,,,,United States of America
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2015,"314,528,138",9.86,9.86,214,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,"29,105",10.00,10.00,4,,,,United States of America
300190 - Other,"486,689",10.00,10.00,3,,,,United States of America
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","84,322,150",10.00,10.00,8,,,,United States of America
300220 - Vaccines for human medicine,"33,722,583",10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,"2,469,894",10.00,10.00,1,,,,United States of America
300290 - Other,"12,509,997",10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
300320 - Containing other antibiotics,"3,573",10.00,10.00,1,,,,United States of America
300331 -- Containing insulin,,10.00,10.00,1,,,,United States of America
300339 -- Other,"1,802",10.00,10.00,1,,,,United States of America
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,"1,359,789",10.00,10.00,1,,,,United States of America
300390 - Other,"534,159",10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","8,696,982",10.00,10.00,8,,,,United States of America
300420 - Containing other antibiotics,"10,681,992",10.00,10.00,29,,,,United States of America
300431 -- Containing insulin,"4,894,251",10.00,10.00,2,,,,United States of America
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","32,000",10.00,10.00,1,,,,United States of America
300439 -- Other,"15,323,320",10.00,10.00,8,,,,United States of America
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","1,294,964",10.00,10.00,8,,,,United States of America
300450 - Other medicaments containing vitamins or other products of heading 29.36,"2,609,531",10.00,10.00,11,,,,United States of America
300490 - Other,"117,763,950",10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,"1,395,146",10.00,10.00,3,,,,United States of America
300590 - Other,"5,389,737",10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","3,964,022",10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,"1,746,147",10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"2,015",10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,"3,553,668",10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,"51,063",10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","50,723",0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"1,170,740",10.00,10.00,1,,,,United States of America
300691 -- Appliances identifiable for ostomy use,"468,146",10.00,10.00,1,,,,United States of America
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2014,"301,307,092",9.86,9.86,214,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,"46,552",10.00,10.00,4,,,,United States of America
300190 - Other,"359,558",10.00,10.00,3,,,,United States of America
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","93,069,515",10.00,10.00,8,,,,United States of America
300220 - Vaccines for human medicine,"39,574,833",10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,"3,137,969",10.00,10.00,1,,,,United States of America
300290 - Other,"13,775,807",10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
300320 - Containing other antibiotics,"92,030",10.00,10.00,1,,,,United States of America
300331 -- Containing insulin,"3,866",10.00,10.00,1,,,,United States of America
300339 -- Other,236,10.00,10.00,1,,,,United States of America
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,494,10.00,10.00,1,,,,United States of America
300390 - Other,"525,834",10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","4,362,454",10.00,10.00,8,,,,United States of America
300420 - Containing other antibiotics,"10,054,493",10.00,10.00,29,,,,United States of America
300431 -- Containing insulin,"3,868,827",10.00,10.00,2,,,,United States of America
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","35,613",10.00,10.00,1,,,,United States of America
300439 -- Other,"6,340,324",10.00,10.00,8,,,,United States of America
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","388,629",10.00,10.00,8,,,,United States of America
300450 - Other medicaments containing vitamins or other products of heading 29.36,"1,852,334",10.00,10.00,11,,,,United States of America
300490 - Other,"104,271,197",10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,"2,649,174",10.00,10.00,3,,,,United States of America
300590 - Other,"5,642,048",10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","5,575,563",10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,"1,123,388",10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"3,613",10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,"2,871,670",10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,"36,169",10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","78,021",0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"1,011,507",10.00,10.00,1,,,,United States of America
300691 -- Appliances identifiable for ostomy use,"555,374",10.00,10.00,1,,,,United States of America
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2013,"271,293,499",9.86,9.86,214,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,"111,085",10.00,10.00,4,,,,United States of America
300190 - Other,"1,316,525",10.00,10.00,3,,,,United States of America
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","104,351,736",10.00,10.00,8,,,,United States of America
300220 - Vaccines for human medicine,"21,872,742",10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,"2,828,761",10.00,10.00,1,,,,United States of America
300290 - Other,"13,749,229",10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
300320 - Containing other antibiotics,,10.00,10.00,1,,,,United States of America
300331 -- Containing insulin,,10.00,10.00,1,,,,United States of America
300339 -- Other,"1,206,507",10.00,10.00,1,,,,United States of America
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,"5,682",10.00,10.00,1,,,,United States of America
300390 - Other,"238,097",10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","3,079,900",10.00,10.00,8,,,,United States of America
300420 - Containing other antibiotics,"8,422,567",10.00,10.00,29,,,,United States of America
300431 -- Containing insulin,"4,141,826",10.00,10.00,2,,,,United States of America
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","30,436",10.00,10.00,1,,,,United States of America
300439 -- Other,"8,697,988",10.00,10.00,8,,,,United States of America
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","127,609",10.00,10.00,8,,,,United States of America
300450 - Other medicaments containing vitamins or other products of heading 29.36,"2,373,454",10.00,10.00,11,,,,United States of America
300490 - Other,"77,154,340",10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,"3,325,915",10.00,10.00,3,,,,United States of America
300590 - Other,"5,144,583",10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","4,935,168",10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,"642,578",10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"425,647",10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,"3,133,339",10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,"65,882",10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","2,488,746",0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"1,047,830",10.00,10.00,1,,,,United States of America
300691 -- Appliances identifiable for ostomy use,"375,327",10.00,10.00,1,,,,United States of America
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2012,"249,590,862",9.86,9.86,214,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,"108,212",10.00,10.00,4,,,,United States of America
300190 - Other,"71,661",10.00,10.00,3,,,,United States of America
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","94,419,307",10.00,10.00,8,,,,United States of America
300220 - Vaccines for human medicine,"27,184,879",10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,"904,109",10.00,10.00,1,,,,United States of America
300290 - Other,"13,933,198",10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","2,104",10.00,10.00,1,,,,United States of America
300320 - Containing other antibiotics,"4,207",10.00,10.00,1,,,,United States of America
300331 -- Containing insulin,,10.00,10.00,1,,,,United States of America
300339 -- Other,"7,738",10.00,10.00,1,,,,United States of America
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,"6,135",10.00,10.00,1,,,,United States of America
300390 - Other,"337,113",10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","4,620,376",10.00,10.00,8,,,,United States of America
300420 - Containing other antibiotics,"8,952,824",10.00,10.00,29,,,,United States of America
300431 -- Containing insulin,"6,694,506",10.00,10.00,2,,,,United States of America
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",4,10.00,10.00,1,,,,United States of America
300439 -- Other,"6,676,771",10.00,10.00,8,,,,United States of America
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","108,010",10.00,10.00,8,,,,United States of America
300450 - Other medicaments containing vitamins or other products of heading 29.36,"1,494,828",10.00,10.00,11,,,,United States of America
300490 - Other,"66,918,202",10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,"2,605,353",10.00,10.00,3,,,,United States of America
300590 - Other,"5,065,226",10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","4,879,130",10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,"412,998",10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"158,936",10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,"3,077,466",10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,"39,623",10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","19,505",0.00,0.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"632,579",10.00,10.00,1,,,,United States of America
300691 -- Appliances identifiable for ostomy use,"255,862",10.00,10.00,1,,,,United States of America
300692 -- Waste pharmaceuticals,,10.00,10.00,1,,,,United States of America
,2011,"211,133,516",10.00,10.00,214,,,,United States of America
300120 - Extracts of glands or other organs or of their secretions,"323,256",10.00,10.00,4,,,,United States of America
300190 - Other,"787,045",10.00,10.00,3,,,,United States of America
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","74,721,083",10.00,10.00,8,,,,United States of America
300220 - Vaccines for human medicine,"23,940,174",10.00,10.00,14,,,,United States of America
300230 - Vaccines for veterinary medicine,"3,576,135",10.00,10.00,1,,,,United States of America
300290 - Other,"7,247,278",10.00,10.00,5,,,,United States of America
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,United States of America
300320 - Containing other antibiotics,"46,186",10.00,10.00,1,,,,United States of America
300331 -- Containing insulin,,10.00,10.00,1,,,,United States of America
300339 -- Other,"528,545",10.00,10.00,1,,,,United States of America
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,"8,678",10.00,10.00,1,,,,United States of America
300390 - Other,"1,148,289",10.00,10.00,14,,,,United States of America
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","4,988,203",10.00,10.00,8,,,,United States of America
300420 - Containing other antibiotics,"5,193,655",10.00,10.00,29,,,,United States of America
300431 -- Containing insulin,"7,225,449",10.00,10.00,2,,,,United States of America
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","19,377",10.00,10.00,1,,,,United States of America
300439 -- Other,"8,818,934",10.00,10.00,8,,,,United States of America
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","365,988",10.00,10.00,8,,,,United States of America
300450 - Other medicaments containing vitamins or other products of heading 29.36,"857,681",10.00,10.00,11,,,,United States of America
300490 - Other,"56,744,904",10.00,10.00,70,,,,United States of America
300510 - Adhesive dressings and other articles having an adhesive layer,"1,692,819",10.00,10.00,3,,,,United States of America
300590 - Other,"2,369,035",10.00,10.00,8,,,,United States of America
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","3,409,848",10.00,10.00,2,,,,United States of America
300620 - Blood-grouping reagents,"486,088",10.00,10.00,1,,,,United States of America
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"1,008,339",10.00,10.00,1,,,,United States of America
300640 - Dental cements and other dental fillings; bone reconstruction cements,"3,916,273",10.00,10.00,1,,,,United States of America
300650 - First-aid boxes and kits,"25,491",10.00,10.00,1,,,,United States of America
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides","1,007,701",10.00,10.00,3,,,,United States of America
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,"532,210",10.00,10.00,1,,,,United States of America
300691 -- Appliances identifiable for ostomy use,"144,428",10.00,10.00,1,,,,United States of America
300692 -- Waste pharmaceuticals,424,10.00,10.00,1,,,,United States of America
