Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
India,"15,558,524",,,,,,,Russian Federation
,2018,,9.87,9.87,224,,,,Russian Federation
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,Russian Federation
300190 - Other,,10.00,10.00,3,,,,Russian Federation
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,Russian Federation
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,Russian Federation
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Russian Federation
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Russian Federation
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Russian Federation
300219 - - Other,,10.00,10.00,1,,,,Russian Federation
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,Russian Federation
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,Russian Federation
300290 - Other,,10.00,10.00,5,,,,Russian Federation
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,Russian Federation
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,Russian Federation
300331 - - Containing insulin,,10.00,10.00,1,,,,Russian Federation
300339 - - Other,,10.00,10.00,1,,,,Russian Federation
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Russian Federation
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Russian Federation
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Russian Federation
300349 - - Other,,10.00,10.00,1,,,,Russian Federation
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Russian Federation
300390 - Other,,10.00,10.00,14,,,,Russian Federation
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,Russian Federation
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,Russian Federation
300431 - - Containing insulin,,10.00,10.00,2,,,,Russian Federation
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,10.00,10.00,1,,,,Russian Federation
300439 - - Other,,10.00,10.00,8,,,,Russian Federation
300441 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Russian Federation
300442 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Russian Federation
300443 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Russian Federation
300449 - - Other,,10.00,10.00,8,,,,Russian Federation
"300450 - Other, containing vitamins or other products of heading 29.36",,10.00,10.00,11,,,,Russian Federation
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Russian Federation
300490 - Other,,10.00,10.00,70,,,,Russian Federation
