Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Brazil,"9,215,822",,,,,,,Japan
,2018,,16.70,16.70,23,,,,Japan
170112 - - Beet sugar,,16.00,16.00,1,,,,Japan
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 - - Other cane sugar,,16.00,16.00,1,,,,Japan
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 - - Other,,16.00,16.00,1,,,,Japan
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 - - Other,,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,Japan
170490 - Other,,20.00,20.00,3,,,,Japan
,2017,"1,189,028",16.70,16.70,23,,,,Japan
170112 - - Beet sugar,,16.00,16.00,1,,,,Japan
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 - - Other cane sugar,,16.00,16.00,1,,,,Japan
170191 - - Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 - - Other,,16.00,16.00,1,,,,Japan
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 - - Other,,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,"1,188",16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","432,749",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","161,347",20.00,20.00,1,,,,Japan
170490 - Other,"593,744",20.00,20.00,3,,,,Japan
,2016,"773,102",16.70,16.70,23,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 -- Other cane sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,28,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,264,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",103,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","298,787",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","76,916",20.00,20.00,1,,,,Japan
170490 - Other,"397,004",20.00,20.00,3,,,,Japan
,2015,"509,850",16.70,16.70,23,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 -- Other cane sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,"1,499",16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,542,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","232,096",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","38,067",20.00,20.00,1,,,,Japan
170490 - Other,"237,646",20.00,20.00,3,,,,Japan
,2014,"546,479",16.70,16.70,23,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 -- Other cane sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,"6,540",16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,763,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","165,668",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","75,016",20.00,20.00,1,,,,Japan
170490 - Other,"298,492",20.00,20.00,3,,,,Japan
,2013,"425,374",16.70,16.70,23,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 -- Other cane sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,633,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,124,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","42,639",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","109,092",20.00,20.00,1,,,,Japan
170490 - Other,"272,886",20.00,20.00,3,,,,Japan
,2012,"379,541",16.70,16.70,23,,,,Japan
170112 -- Beet sugar,706,16.00,16.00,1,,,,Japan
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,Japan
170114 -- Other cane sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","54,929",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","91,773",20.00,20.00,1,,,,Japan
170490 - Other,"232,134",20.00,20.00,3,,,,Japan
,2011,"307,000",16.73,16.73,22,,,,Japan
170111 -- Cane sugar,,16.00,16.00,1,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","6,000",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","82,000",20.00,20.00,1,,,,Japan
170490 - Other,"219,000",20.00,20.00,3,,,,Japan
,2010,"458,000",16.73,16.73,22,,,,Japan
170111 -- Cane sugar,,16.00,16.00,1,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,Japan
170219 -- Other,,16.00,16.00,1,,,,Japan
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,Japan
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,16.00,16.00,3,,,,Japan
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
170250 - Chemically pure fructose,,16.00,16.00,1,,,,Japan
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,Japan
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","1,000",16.00,16.00,1,,,,Japan
170310 - Cane molasses,,16.00,16.00,1,,,,Japan
170390 - Other,,16.00,16.00,1,,,,Japan
"170410 - Chewing gum, whether or not sugar-coated","130,000",20.00,20.00,1,,,,Japan
170490 - Other,"327,000",20.00,20.00,3,,,,Japan
,2009,"347,000",16.73,16.73,22,,,,Japan
170111 -- Cane sugar,,16.00,16.00,1,,,,Japan
170112 -- Beet sugar,,16.00,16.00,1,,,,Japan
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,Japan
170199 -- Other,,16.00,16.00,1,,,,Japan
