Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"11,553,932,549",,,,,,,Brazil
,2018,,2.75,2.75,23,,,,Brazil
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Brazil
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Brazil
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Brazil
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Brazil
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Brazil
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,3.50,3,,,,Brazil
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Brazil
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Brazil
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,Brazil
880390 - Other,,1.56,1.56,5,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Brazil
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Brazil
880529 - - Other,,0.00,0.00,1,,,,Brazil
,2017,"604,419,556",2.80,2.80,23,,,,Brazil
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Brazil
"880211 - - Of an unladen weight not exceeding 2,000 kg",15,7.50,7.50,1,,,,Brazil
"880212 - - Of an unladen weight exceeding 2,000 kg","8,063,022",2.70,2.70,1,,,,Brazil
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","20,280",7.70,7.70,1,,,,Brazil
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","105,932,547",2.70,2.70,1,,,,Brazil
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","452,285,320",2.70,2.70,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,3.87,3,,,,Brazil
880310 - Propellers and rotors and parts thereof,"746,230",2.70,2.70,1,,,,Brazil
880320 - Under-carriages and parts thereof,"17,283,852",2.70,2.70,1,,,,Brazil
880330 - Other parts of aeroplanes or helicopters,"18,399,693",2.70,2.70,1,,,,Brazil
880390 - Other,"933,608",1.56,1.56,5,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"645,893",2.70,2.70,1,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,2,2.20,2.20,2,,,,Brazil
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Brazil
880529 - - Other,"109,093",0.00,0.00,1,,,,Brazil
,2016,"1,315,595,334",3.07,3.07,21,,,,Brazil
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg","11,602",7.50,7.50,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Brazil
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Brazil
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","264,517,123",2.70,2.70,1,,,,Brazil
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","1,005,812,209",2.70,2.70,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Brazil
880310 - Propellers and rotors and parts thereof,"1,812,047",2.70,2.70,1,,,,Brazil
880320 - Under-carriages and parts thereof,"11,918,489",2.70,2.70,1,,,,Brazil
880330 - Other parts of aeroplanes or helicopters,"30,393,649",2.70,2.70,1,,,,Brazil
880390 - Other,"706,070",1.95,1.95,4,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"269,747",2.70,2.70,1,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,273,2.20,2.20,2,,,,Brazil
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Brazil
880529 -- Other,"154,125",1.70,1.70,1,,,,Brazil
