Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
India,"136,250,541",,,,,,,United States of America
,2018,,47.44,47.44,41,,,,United States of America
170112 - - Beet sugar,,100.00,100.00,1,,,,United States of America
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,100.00,100.00,3,,,,United States of America
170114 - - Other cane sugar,,100.00,100.00,3,,,,United States of America
170191 - - Containing added flavouring or colouring matter,,100.00,100.00,1,,,,United States of America
170199 - - Other,,100.00,100.00,2,,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,United States of America
170219 - - Other,,30.00,30.00,2,,,,United States of America
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,United States of America
170250 - Chemically pure fructose,,30.00,30.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,United States of America
170310 - Cane molasses,,30.00,30.00,1,,,,United States of America
170390 - Other,,30.00,30.00,2,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,United States of America
170490 - Other,,30.00,30.00,4,,,,United States of America
,2017,,35.37,35.37,41,,,,United States of America
170112 - - Beet sugar,,60.00,60.00,1,,,,United States of America
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,United States of America
170114 - - Other cane sugar,,60.00,60.00,3,,,,United States of America
170191 - - Containing added flavouring or colouring matter,,60.00,60.00,1,,,,United States of America
170199 - - Other,,60.00,60.00,2,,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,United States of America
170219 - - Other,,25.00,25.00,2,,,,United States of America
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,United States of America
170250 - Chemically pure fructose,,30.00,30.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,United States of America
170310 - Cane molasses,,10.00,10.00,1,,,,United States of America
170390 - Other,,10.00,10.00,2,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,United States of America
170490 - Other,,30.00,30.00,4,,,,United States of America
,2016,"15,871,178",35.37,35.37,41,,,,United States of America
170112 -- Beet sugar,,60.00,60.00,1,,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,United States of America
170114 -- Other cane sugar,,60.00,60.00,3,,,,United States of America
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,United States of America
170199 -- Other,"1,278,183",60.00,60.00,2,,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","8,489,713",25.00,25.00,2,,,,United States of America
170219 -- Other,"3,713,100",25.00,25.00,2,,,,United States of America
170220 - Maple sugar and maple syrup,"20,316",30.00,30.00,2,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","125,164",30.00,30.00,4,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","18,601",30.00,30.00,4,,,,United States of America
170250 - Chemically pure fructose,"1,131,301",30.00,30.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","59,633",30.00,30.00,2,,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","590,973",30.00,30.00,6,,,,United States of America
170310 - Cane molasses,,10.00,10.00,1,,,,United States of America
170390 - Other,"24,808",10.00,10.00,2,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","15,074",30.00,30.00,1,,,,United States of America
170490 - Other,"404,312",30.00,30.00,4,,,,United States of America
,2015,"13,393,207",35.37,35.37,41,,,,United States of America
170112 -- Beet sugar,,60.00,60.00,1,,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,United States of America
170114 -- Other cane sugar,,60.00,60.00,3,,,,United States of America
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,United States of America
170199 -- Other,"545,195",60.00,60.00,2,,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","7,213,282",25.00,25.00,2,,,,United States of America
170219 -- Other,"3,228,889",25.00,25.00,2,,,,United States of America
170220 - Maple sugar and maple syrup,"124,727",30.00,30.00,2,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","160,639",30.00,30.00,4,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","52,148",30.00,30.00,4,,,,United States of America
170250 - Chemically pure fructose,"504,823",30.00,30.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","151,017",30.00,30.00,2,,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","845,459",30.00,30.00,6,,,,United States of America
170310 - Cane molasses,,10.00,10.00,1,,,,United States of America
170390 - Other,"11,177",10.00,10.00,2,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","4,208",30.00,30.00,1,,,,United States of America
170490 - Other,"551,643",30.00,30.00,4,,,,United States of America
,2014,"15,622,852",35.37,35.37,41,,,,United States of America
170112 -- Beet sugar,,60.00,60.00,1,,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,United States of America
170114 -- Other cane sugar,,60.00,60.00,3,,,,United States of America
170191 -- Containing added flavouring or colouring matter,,60.00,60.00,1,,,,United States of America
170199 -- Other,"559,446",60.00,60.00,2,,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","8,077,051",25.00,25.00,2,,,,United States of America
170219 -- Other,"3,909,310",25.00,25.00,2,,,,United States of America
170220 - Maple sugar and maple syrup,"165,460",30.00,30.00,2,,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","117,989",30.00,30.00,4,,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","114,433",30.00,30.00,4,,,,United States of America
170250 - Chemically pure fructose,"769,177",30.00,30.00,1,,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","33,729",30.00,30.00,2,,,,United States of America
