Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
European Union,"352,512,857",,,,,,,Russian Federation
,2018,,0.00,0.00,55,,,,Russian Federation
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Russian Federation
300190 - Other,,0.00,0.00,3,,,,Russian Federation
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,Russian Federation
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,Russian Federation
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Russian Federation
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Russian Federation
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Russian Federation
300219 - - Other,,0.00,0.00,1,,,,Russian Federation
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Russian Federation
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Russian Federation
300290 - Other,,0.00,0.00,4,,,,Russian Federation
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Russian Federation
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,Russian Federation
300331 - - Containing insulin,,0.00,0.00,1,,,,Russian Federation
300339 - - Other,,0.00,0.00,1,,,,Russian Federation
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Russian Federation
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300349 - - Other,,0.00,0.00,1,,,,Russian Federation
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Russian Federation
300390 - Other,,0.00,0.00,1,,,,Russian Federation
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Russian Federation
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,Russian Federation
300431 - - Containing insulin,,0.00,0.00,1,,,,Russian Federation
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Russian Federation
300439 - - Other,,0.00,0.00,1,,,,Russian Federation
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Russian Federation
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300449 - - Other,,0.00,0.00,1,,,,Russian Federation
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Russian Federation
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Russian Federation
300490 - Other,,0.00,0.00,1,,,,Russian Federation
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,Russian Federation
300590 - Other,,0.00,0.00,4,,,,Russian Federation
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,Russian Federation
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Russian Federation
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Russian Federation
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Russian Federation
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Russian Federation
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Russian Federation
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Russian Federation
300691 - - Appliances identifiable for ostomy use,,0.00,0.00,1,,,,Russian Federation
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,Russian Federation
,2017,"41,274,740",0.00,0.00,55,,,,Russian Federation
300120 - Extracts of glands or other organs or of their secretions,"50,051",0.00,0.00,2,,,,Russian Federation
300190 - Other,"261,166",0.00,0.00,3,,,,Russian Federation
300211 - - Malaria diagnostic test kits,"5,117",0.00,0.00,1,,,,Russian Federation
300212 - - Antisera and other blood fractions,"2,369,689",0.00,0.00,1,,,,Russian Federation
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale","47,044",0.00,0.00,1,,,,Russian Federation
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",841,0.00,0.00,1,,,,Russian Federation
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale","763,287",0.00,0.00,1,,,,Russian Federation
300219 - - Other,"4,545,411",0.00,0.00,1,,,,Russian Federation
300220 - Vaccines for human medicine,"4,056,778",0.00,0.00,1,,,,Russian Federation
300230 - Vaccines for veterinary medicine,"384,892",0.00,0.00,1,,,,Russian Federation
300290 - Other,"4,655,533",0.00,0.00,4,,,,Russian Federation
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Russian Federation
"300320 - Other, containing antibiotics",95,0.00,0.00,1,,,,Russian Federation
300331 - - Containing insulin,,0.00,0.00,1,,,,Russian Federation
300339 - - Other,,0.00,0.00,1,,,,Russian Federation
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Russian Federation
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300349 - - Other,,0.00,0.00,1,,,,Russian Federation
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Russian Federation
300390 - Other,"1,358,022",0.00,0.00,1,,,,Russian Federation
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","14,021",0.00,0.00,1,,,,Russian Federation
"300420 - Other, containing antibiotics","79,991",0.00,0.00,1,,,,Russian Federation
300431 - - Containing insulin,"630,830",0.00,0.00,1,,,,Russian Federation
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues","75,529",0.00,0.00,1,,,,Russian Federation
300439 - - Other,"18,169",0.00,0.00,1,,,,Russian Federation
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Russian Federation
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Russian Federation
300449 - - Other,"47,340",0.00,0.00,1,,,,Russian Federation
"300450 - Other, containing vitamins or other products of heading 29.36","39,845",0.00,0.00,1,,,,Russian Federation
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",2,0.00,0.00,1,,,,Russian Federation
300490 - Other,"18,467,155",0.00,0.00,1,,,,Russian Federation
300510 - Adhesive dressings and other articles having an adhesive layer,"14,819",0.00,0.00,1,,,,Russian Federation
300590 - Other,"39,868",0.00,0.00,4,,,,Russian Federation
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","14,252",0.00,0.00,3,,,,Russian Federation
300620 - Blood-grouping reagents,"28,351",0.00,0.00,1,,,,Russian Federation
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,"44,167",0.00,0.00,1,,,,Russian Federation
300640 - Dental cements and other dental fillings; bone reconstruction cements,"109,089",0.00,0.00,1,,,,Russian Federation
300650 - First-aid boxes and kits,"2,845",0.00,0.00,1,,,,Russian Federation
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",859,0.00,0.00,1,,,,Russian Federation
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,54,0.00,0.00,1,,,,Russian Federation
300691 - - Appliances identifiable for ostomy use,"4,209",0.00,0.00,1,,,,Russian Federation
300692 - - Waste pharmaceuticals,"3,145,420",0.00,0.00,1,,,,Russian Federation
,2016,"26,163,567",0.00,0.00,50,,,,Russian Federation
300120 - Extracts of glands or other organs or of their secretions,"10,512",0.00,0.00,2,,,,Russian Federation
300190 - Other,"475,418",0.00,0.00,3,,,,Russian Federation
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes","4,406,216",0.00,0.00,3,,,,Russian Federation
300220 - Vaccines for human medicine,"830,140",0.00,0.00,1,,,,Russian Federation
300230 - Vaccines for veterinary medicine,"383,382",0.00,0.00,1,,,,Russian Federation
300290 - Other,"2,935,700",0.00,0.00,4,,,,Russian Federation
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Russian Federation
300320 - Containing other antibiotics,53,0.00,0.00,1,,,,Russian Federation
300331 -- Containing insulin,,0.00,0.00,1,,,,Russian Federation
300339 -- Other,,0.00,0.00,1,,,,Russian Federation
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,0.00,0.00,4,,,,Russian Federation
300390 - Other,"1,032,820",0.00,0.00,1,,,,Russian Federation
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","41,507",0.00,0.00,1,,,,Russian Federation
300420 - Containing other antibiotics,"459,138",0.00,0.00,1,,,,Russian Federation
300431 -- Containing insulin,49,0.00,0.00,1,,,,Russian Federation
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues","21,171",0.00,0.00,1,,,,Russian Federation
300439 -- Other,"2,234,914",0.00,0.00,1,,,,Russian Federation
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics","38,187",0.00,0.00,4,,,,Russian Federation
