Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Brazil,"2,264,430,933",,,,,,,India
,2018,,7.89,7.89,403,,,,India
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,India
300190 - Other,,4.00,4.00,5,,,,India
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,India
300212 - - Antisera and other blood fractions,,3.37,3.37,19,,,,India
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,India
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,2,,,,India
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.67,0.67,3,,,,India
300219 - - Other,,2.00,2.00,1,,,,India
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,India
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,India
300290 - Other,,6.25,6.25,8,,,,India
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,India
"300320 - Other, containing antibiotics",,6.69,6.69,26,,,,India
300331 - - Containing insulin,,14.00,14.00,1,,,,India
300339 - - Other,,7.25,7.25,32,,,,India
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,India
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,India
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,India
300349 - - Other,,7.33,7.33,6,,,,India
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,India
300390 - Other,,10.49,10.49,73,,,,India
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,India
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,India
300431 - - Containing insulin,,14.00,14.00,1,,,,India
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,India
300439 - - Other,,7.06,7.06,32,,,,India
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,India
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,India
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,India
300449 - - Other,,7.33,7.33,6,,,,India
"300450 - Other, containing vitamins or other products of heading 29.36",,10.57,10.57,7,,,,India
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,India
300490 - Other,,10.34,10.34,65,,,,India
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,India
300590 - Other,,8.00,8.00,5,,,,India
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,India
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,India
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,4.00,4.00,10,,,,India
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,India
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,India
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,India
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,India
300691 - - Appliances identifiable for ostomy use,,12.00,12.00,2,,,,India
300692 - - Waste pharmaceuticals,,14.00,14.00,1,,,,India
,2017,"249,412,146",7.91,7.91,401,,,,India
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,India
300190 - Other,,4.00,4.00,5,,,,India
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,India
300212 - - Antisera and other blood fractions,"35,358",3.37,3.37,19,,,,India
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,India
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","2,440",2.00,2.00,2,,,,India
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale","28,563",0.67,0.67,3,,,,India
300219 - - Other,,2.00,2.00,1,,,,India
300220 - Vaccines for human medicine,"43,435,490",2.22,2.22,18,,,,India
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,India
300290 - Other,"23,859",6.25,6.25,8,,,,India
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","91,800",11.43,11.43,7,,,,India
"300320 - Other, containing antibiotics","1,838,239",6.69,6.69,26,,,,India
300331 - - Containing insulin,,14.00,14.00,1,,,,India
300339 - - Other,,7.25,7.25,32,,,,India
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,India
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,India
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,India
300349 - - Other,"771,470",7.33,7.33,6,,,,India
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,India
300390 - Other,"50,951,307",10.53,10.53,72,,,,India
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","6,786,502",11.43,11.43,7,,,,India
"300420 - Other, containing antibiotics","10,838,985",6.69,6.69,26,,,,India
300431 - - Containing insulin,"1,773,090",14.00,14.00,1,,,,India
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues","618,985",12.00,12.00,3,,,,India
300439 - - Other,"210,137",7.06,7.06,32,,,,India
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,India
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,India
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,India
300449 - - Other,"1,098,017",7.33,7.33,6,,,,India
"300450 - Other, containing vitamins or other products of heading 29.36","1,076,121",9.43,9.43,7,,,,India
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,India
300490 - Other,"129,409,329",10.81,10.81,64,,,,India
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,India
300590 - Other,"422,454",8.00,8.00,5,,,,India
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,India
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,India
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,2.80,2.80,10,,,,India
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,India
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,India
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,India
