Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
European Union,"29,501",,,,,,,Armenia
,2018,,6.84,1.60,44,39,14,12,Armenia
170112 - - Beet sugar,,,,2,2,,,Armenia
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Armenia
170114 - - Other cane sugar,,,,2,2,,,Armenia
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Armenia
170199 - - Other,,,,2,2,,,Armenia
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Armenia
170219 - - Other,,,,1,1,,,Armenia
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Armenia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Armenia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Armenia
170250 - Chemically pure fructose,,,,1,1,1,1,Armenia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Armenia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,1,,Armenia
170310 - Cane molasses,,0.00,0.00,1,,,,Armenia
170390 - Other,,0.00,0.00,1,,,,Armenia
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Armenia
170490 - Other,,13.40,0.00,10,9,10,9,Armenia
,2017,671,6.84,1.60,44,39,14,12,Armenia
170112 - - Beet sugar,,,,2,2,,,Armenia
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Armenia
170114 - - Other cane sugar,,,,2,2,,,Armenia
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Armenia
170199 - - Other,,,,2,2,,,Armenia
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Armenia
170219 - - Other,,,,1,1,,,Armenia
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Armenia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Armenia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Armenia
170250 - Chemically pure fructose,,,,1,1,1,1,Armenia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Armenia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,1,,Armenia
170310 - Cane molasses,1,0.00,0.00,1,,,,Armenia
170390 - Other,,0.00,0.00,1,,,,Armenia
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Armenia
170490 - Other,670,13.40,0.00,10,9,10,9,Armenia
,2016,55,6.84,1.60,44,39,14,12,Armenia
170112 -- Beet sugar,,,,2,2,,,Armenia
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Armenia
170114 -- Other cane sugar,,,,2,2,,,Armenia
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Armenia
170199 -- Other,,,,2,2,,,Armenia
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Armenia
170219 -- Other,,,,1,1,,,Armenia
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Armenia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Armenia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Armenia
170250 - Chemically pure fructose,,,,1,1,1,1,Armenia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Armenia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,1,,Armenia
170310 - Cane molasses,,0.00,0.00,1,,,,Armenia
170390 - Other,,0.00,0.00,1,,,,Armenia
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Armenia
170490 - Other,55,13.40,0.00,10,9,10,9,Armenia
,2015,169,6.84,1.60,44,39,14,12,Armenia
170112 -- Beet sugar,,,,2,2,,,Armenia
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Armenia
170114 -- Other cane sugar,,,,2,2,,,Armenia
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Armenia
170199 -- Other,,,,2,2,,,Armenia
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Armenia
170219 -- Other,,,,1,1,,,Armenia
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Armenia
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Armenia
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Armenia
170250 - Chemically pure fructose,,,,1,1,1,1,Armenia
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Armenia
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,1,,Armenia
170310 - Cane molasses,,0.00,0.00,1,,,,Armenia
170390 - Other,,0.00,0.00,1,,,,Armenia
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Armenia
170490 - Other,169,13.40,0.00,10,9,10,9,Armenia
,2014,,6.84,1.60,44,39,14,12,Armenia
170112 -- Beet sugar,,,,2,2,,,Armenia
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Armenia
170114 -- Other cane sugar,,,,2,2,,,Armenia
