Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
Yemen,0,,,,,,,Nepal
,2016,,5.53,5.53,19,,,,Nepal
170112 -- Beet sugar,,5.00,5.00,1,,,,Nepal
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,5.00,5.00,1,,,,Nepal
170114 -- Other cane sugar,,5.00,5.00,1,,,,Nepal
170191 -- Containing added flavouring or colouring matter,,5.00,5.00,1,,,,Nepal
170199 -- Other,,5.00,5.00,1,,,,Nepal
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,5.00,5.00,1,,,,Nepal
170219 -- Other,,5.00,5.00,1,,,,Nepal
170220 - Maple sugar and maple syrup,,5.00,5.00,1,,,,Nepal
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,5.00,5.00,1,,,,Nepal
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,5.00,5.00,1,,,,Nepal
170250 - Chemically pure fructose,,5.00,5.00,1,,,,Nepal
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,5.00,5.00,1,,,,Nepal
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,5.00,5.00,2,,,,Nepal
170310 - Cane molasses,,5.00,5.00,1,,,,Nepal
170390 - Other,,5.00,5.00,1,,,,Nepal
"170410 - Chewing gum, whether or not sugar-coated",,10.00,10.00,1,,,,Nepal
170490 - Other,,7.50,7.50,2,,,,Nepal
,2015,,5.53,5.53,19,,,,Nepal
170112 -- Beet sugar,,5.00,5.00,1,,,,Nepal
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,5.00,5.00,1,,,,Nepal
170114 -- Other cane sugar,,5.00,5.00,1,,,,Nepal
170191 -- Containing added flavouring or colouring matter,,5.00,5.00,1,,,,Nepal
170199 -- Other,,5.00,5.00,1,,,,Nepal
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,5.00,5.00,1,,,,Nepal
170219 -- Other,,5.00,5.00,1,,,,Nepal
170220 - Maple sugar and maple syrup,,5.00,5.00,1,,,,Nepal
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,5.00,5.00,1,,,,Nepal
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,5.00,5.00,1,,,,Nepal
170250 - Chemically pure fructose,,5.00,5.00,1,,,,Nepal
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,5.00,5.00,1,,,,Nepal
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,5.00,5.00,2,,,,Nepal
170310 - Cane molasses,,5.00,5.00,1,,,,Nepal
170390 - Other,,5.00,5.00,1,,,,Nepal
"170410 - Chewing gum, whether or not sugar-coated",,10.00,10.00,1,,,,Nepal
170490 - Other,,7.50,7.50,2,,,,Nepal
,2009,,5.56,5.56,20,2,,,Nepal
170111 -- Cane sugar,,5.00,5.00,1,,,,Nepal
170112 -- Beet sugar,,5.00,5.00,1,,,,Nepal
170191 -- Containing added flavouring or colouring matter,,5.00,5.00,1,,,,Nepal
170199 -- Other,,5.00,5.00,1,,,,Nepal
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,5.00,5.00,1,,,,Nepal
170219 -- Other,,5.00,5.00,1,,,,Nepal
170220 - Maple sugar and maple syrup,,5.00,5.00,1,,,,Nepal
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,5.00,5.00,1,,,,Nepal
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,5.00,5.00,1,,,,Nepal
170250 - Chemically pure fructose,,5.00,5.00,1,,,,Nepal
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,5.00,5.00,1,,,,Nepal
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,5.00,5.00,2,,,,Nepal
170310 - Cane molasses,,5.00,5.00,1,,,,Nepal
170390 - Other,,5.00,5.00,1,,,,Nepal
"170410 - Chewing gum, whether or not sugar-coated",,10.00,10.00,2,1,,,Nepal
170490 - Other,,7.50,7.50,3,1,,,Nepal
