Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Brazil,"898,938,847",,,,,,,"Korea, Republic of"
,2018,,7.89,7.89,403,,,,"Korea, Republic of"
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,"Korea, Republic of"
300190 - Other,,4.00,4.00,5,,,,"Korea, Republic of"
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,"Korea, Republic of"
300212 - - Antisera and other blood fractions,,3.37,3.37,19,,,,"Korea, Republic of"
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,"Korea, Republic of"
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,2,,,,"Korea, Republic of"
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.67,0.67,3,,,,"Korea, Republic of"
300219 - - Other,,2.00,2.00,1,,,,"Korea, Republic of"
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,"Korea, Republic of"
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,"Korea, Republic of"
300290 - Other,,6.25,6.25,8,,,,"Korea, Republic of"
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,"Korea, Republic of"
"300320 - Other, containing antibiotics",,6.69,6.69,26,,,,"Korea, Republic of"
300331 - - Containing insulin,,14.00,14.00,1,,,,"Korea, Republic of"
300339 - - Other,,7.25,7.25,32,,,,"Korea, Republic of"
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300349 - - Other,,7.33,7.33,6,,,,"Korea, Republic of"
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,"Korea, Republic of"
300390 - Other,,10.49,10.49,73,,,,"Korea, Republic of"
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,"Korea, Republic of"
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,"Korea, Republic of"
300431 - - Containing insulin,,14.00,14.00,1,,,,"Korea, Republic of"
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,"Korea, Republic of"
300439 - - Other,,7.06,7.06,32,,,,"Korea, Republic of"
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300449 - - Other,,7.33,7.33,6,,,,"Korea, Republic of"
"300450 - Other, containing vitamins or other products of heading 29.36",,10.57,10.57,7,,,,"Korea, Republic of"
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,"Korea, Republic of"
300490 - Other,,10.34,10.34,65,,,,"Korea, Republic of"
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,"Korea, Republic of"
300590 - Other,,8.00,8.00,5,,,,"Korea, Republic of"
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,"Korea, Republic of"
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,"Korea, Republic of"
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,4.00,4.00,10,,,,"Korea, Republic of"
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,"Korea, Republic of"
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,"Korea, Republic of"
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,"Korea, Republic of"
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,"Korea, Republic of"
300691 - - Appliances identifiable for ostomy use,,12.00,12.00,2,,,,"Korea, Republic of"
300692 - - Waste pharmaceuticals,,14.00,14.00,1,,,,"Korea, Republic of"
,2017,"137,293,099",7.91,7.91,401,,,,"Korea, Republic of"
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,"Korea, Republic of"
300190 - Other,,4.00,4.00,5,,,,"Korea, Republic of"
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,"Korea, Republic of"
300212 - - Antisera and other blood fractions,"43,321,332",3.37,3.37,19,,,,"Korea, Republic of"
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,"Korea, Republic of"
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","49,348",2.00,2.00,2,,,,"Korea, Republic of"
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale","5,447,095",0.67,0.67,3,,,,"Korea, Republic of"
300219 - - Other,"39,043",2.00,2.00,1,,,,"Korea, Republic of"
300220 - Vaccines for human medicine,"28,269,978",2.22,2.22,18,,,,"Korea, Republic of"
300230 - Vaccines for veterinary medicine,"359,700",3.78,3.78,9,,,,"Korea, Republic of"
300290 - Other,"11,328,186",6.25,6.25,8,,,,"Korea, Republic of"
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,"Korea, Republic of"
"300320 - Other, containing antibiotics","2,891,809",6.69,6.69,26,,,,"Korea, Republic of"
300331 - - Containing insulin,,14.00,14.00,1,,,,"Korea, Republic of"
300339 - - Other,,7.25,7.25,32,,,,"Korea, Republic of"
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300349 - - Other,,7.33,7.33,6,,,,"Korea, Republic of"
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,"Korea, Republic of"
300390 - Other,"1,525,000",10.53,10.53,72,,,,"Korea, Republic of"
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,"Korea, Republic of"
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,"Korea, Republic of"
300431 - - Containing insulin,,14.00,14.00,1,,,,"Korea, Republic of"
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,"Korea, Republic of"
300439 - - Other,"39,890,254",7.06,7.06,32,,,,"Korea, Republic of"
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,"Korea, Republic of"
300449 - - Other,,7.33,7.33,6,,,,"Korea, Republic of"
"300450 - Other, containing vitamins or other products of heading 29.36","40,129",9.43,9.43,7,,,,"Korea, Republic of"
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,"Korea, Republic of"
300490 - Other,"1,395,699",10.81,10.81,64,,,,"Korea, Republic of"
300510 - Adhesive dressings and other articles having an adhesive layer,"520,760",8.67,8.67,6,,,,"Korea, Republic of"
300590 - Other,"143,885",8.00,8.00,5,,,,"Korea, Republic of"
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable","836,395",5.33,5.33,3,,,,"Korea, Republic of"
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,"Korea, Republic of"
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,2.80,2.80,10,,,,"Korea, Republic of"
300640 - Dental cements and other dental fillings; bone reconstruction cements,"1,234,469",5.33,5.33,3,,,,"Korea, Republic of"
