Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
Brazil,0,,,,,,,Armenia
,2018,,7.89,7.89,403,,,,Armenia
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Armenia
300190 - Other,,4.00,4.00,5,,,,Armenia
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,Armenia
300212 - - Antisera and other blood fractions,,3.37,3.37,19,,,,Armenia
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,Armenia
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,2,,,,Armenia
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.67,0.67,3,,,,Armenia
300219 - - Other,,2.00,2.00,1,,,,Armenia
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Armenia
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Armenia
300290 - Other,,6.25,6.25,8,,,,Armenia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
"300320 - Other, containing antibiotics",,6.69,6.69,26,,,,Armenia
300331 - - Containing insulin,,14.00,14.00,1,,,,Armenia
300339 - - Other,,7.25,7.25,32,,,,Armenia
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,Armenia
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,Armenia
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,Armenia
300349 - - Other,,7.33,7.33,6,,,,Armenia
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,Armenia
300390 - Other,,10.49,10.49,73,,,,Armenia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,Armenia
300431 - - Containing insulin,,14.00,14.00,1,,,,Armenia
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Armenia
300439 - - Other,,7.06,7.06,32,,,,Armenia
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,Armenia
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,Armenia
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,Armenia
300449 - - Other,,7.33,7.33,6,,,,Armenia
"300450 - Other, containing vitamins or other products of heading 29.36",,10.57,10.57,7,,,,Armenia
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,Armenia
300490 - Other,,10.34,10.34,65,,,,Armenia
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,Armenia
300590 - Other,,8.00,8.00,5,,,,Armenia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,Armenia
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,Armenia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,4.00,4.00,10,,,,Armenia
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,Armenia
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,Armenia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,Armenia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,Armenia
300691 - - Appliances identifiable for ostomy use,,12.00,12.00,2,,,,Armenia
300692 - - Waste pharmaceuticals,,14.00,14.00,1,,,,Armenia
,2017,,7.91,7.91,401,,,,Armenia
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Armenia
300190 - Other,,4.00,4.00,5,,,,Armenia
300211 - - Malaria diagnostic test kits,,2.00,2.00,1,,,,Armenia
300212 - - Antisera and other blood fractions,,3.37,3.37,19,,,,Armenia
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,1,,,,Armenia
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,2.00,2.00,2,,,,Armenia
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.67,0.67,3,,,,Armenia
300219 - - Other,,2.00,2.00,1,,,,Armenia
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Armenia
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Armenia
300290 - Other,,6.25,6.25,8,,,,Armenia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
"300320 - Other, containing antibiotics",,6.69,6.69,26,,,,Armenia
300331 - - Containing insulin,,14.00,14.00,1,,,,Armenia
300339 - - Other,,7.25,7.25,32,,,,Armenia
300341 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,Armenia
300342 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,Armenia
300343 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,Armenia
300349 - - Other,,7.33,7.33,6,,,,Armenia
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,Armenia
300390 - Other,,10.53,10.53,72,,,,Armenia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
"300420 - Other, containing antibiotics",,6.69,6.69,26,,,,Armenia
300431 - - Containing insulin,,14.00,14.00,1,,,,Armenia
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Armenia
300439 - - Other,,7.06,7.06,32,,,,Armenia
300441 - - Containing ephedrine or its salts,,8.00,8.00,1,,,,Armenia
300442 - - Containing pseudoephedrine (INN) or its salts,,8.00,8.00,1,,,,Armenia
300443 - - Containing norephedrine or its salts,,8.00,8.00,1,,,,Armenia
300449 - - Other,,7.33,7.33,6,,,,Armenia
"300450 - Other, containing vitamins or other products of heading 29.36",,9.43,9.43,7,,,,Armenia
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,8.00,8.00,1,,,,Armenia
300490 - Other,,10.81,10.81,64,,,,Armenia
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,Armenia
300590 - Other,,8.00,8.00,5,,,,Armenia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,Armenia
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,Armenia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,2.80,2.80,10,,,,Armenia
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,Armenia
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,Armenia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,Armenia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,Armenia
300691 - - Appliances identifiable for ostomy use,,12.00,12.00,2,,,,Armenia
300692 - - Waste pharmaceuticals,,14.00,14.00,1,,,,Armenia
,2016,,7.96,7.96,388,,,,Armenia
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Armenia
300190 - Other,,4.00,4.00,5,,,,Armenia
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,3.00,3.00,22,,,,Armenia
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Armenia
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Armenia
300290 - Other,,6.25,6.25,8,,,,Armenia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300320 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300331 -- Containing insulin,,14.00,14.00,1,,,,Armenia
300339 -- Other,,7.25,7.25,32,,,,Armenia
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,7.33,7.33,6,,,,Armenia
300390 - Other,,10.53,10.53,72,,,,Armenia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300420 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300431 -- Containing insulin,,14.00,14.00,1,,,,Armenia
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Armenia
300439 -- Other,,7.06,7.06,32,,,,Armenia
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,7.33,7.33,6,,,,Armenia
300450 - Other medicaments containing vitamins or other products of heading 29.36,,9.43,9.43,7,,,,Armenia
300490 - Other,,10.50,10.50,64,,,,Armenia
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,Armenia
300590 - Other,,8.00,8.00,5,,,,Armenia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,Armenia
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,Armenia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,4.00,4.00,10,,,,Armenia
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,Armenia
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,Armenia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,Armenia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,Armenia
300691 -- Appliances identifiable for ostomy use,,12.00,12.00,2,,,,Armenia
300692 -- Waste pharmaceuticals,,14.00,14.00,1,,,,Armenia
,2015,,7.96,7.96,388,,,,Armenia
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Armenia
300190 - Other,,4.00,4.00,5,,,,Armenia
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,3.00,3.00,22,,,,Armenia
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Armenia
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Armenia
300290 - Other,,6.25,6.25,8,,,,Armenia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300320 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300331 -- Containing insulin,,14.00,14.00,1,,,,Armenia
300339 -- Other,,7.25,7.25,32,,,,Armenia
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,7.33,7.33,6,,,,Armenia
300390 - Other,,10.53,10.53,72,,,,Armenia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300420 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300431 -- Containing insulin,,14.00,14.00,1,,,,Armenia
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Armenia
300439 -- Other,,7.06,7.06,32,,,,Armenia
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,7.33,7.33,6,,,,Armenia
300450 - Other medicaments containing vitamins or other products of heading 29.36,,9.43,9.43,7,,,,Armenia
300490 - Other,,10.50,10.50,64,,,,Armenia
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,Armenia
300590 - Other,,8.00,8.00,5,,,,Armenia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,Armenia
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,Armenia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,4.00,4.00,10,,,,Armenia
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,Armenia
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,Armenia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,Armenia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,Armenia
300691 -- Appliances identifiable for ostomy use,,12.00,12.00,2,,,,Armenia
300692 -- Waste pharmaceuticals,,14.00,14.00,1,,,,Armenia
,2014,,7.93,7.93,388,,,,Armenia
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Armenia
300190 - Other,,4.00,4.00,5,,,,Armenia
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,3.00,3.00,22,,,,Armenia
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Armenia
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Armenia
300290 - Other,,6.25,6.25,8,,,,Armenia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300320 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300331 -- Containing insulin,,14.00,14.00,1,,,,Armenia
300339 -- Other,,7.25,7.25,32,,,,Armenia
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,7.33,7.33,6,,,,Armenia
300390 - Other,,10.53,10.53,72,,,,Armenia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300420 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300431 -- Containing insulin,,14.00,14.00,1,,,,Armenia
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Armenia
300439 -- Other,,7.06,7.06,32,,,,Armenia
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,7.33,7.33,6,,,,Armenia
300450 - Other medicaments containing vitamins or other products of heading 29.36,,9.43,9.43,7,,,,Armenia
300490 - Other,,10.53,10.53,64,,,,Armenia
300510 - Adhesive dressings and other articles having an adhesive layer,,8.67,8.67,6,,,,Armenia
300590 - Other,,8.00,8.00,5,,,,Armenia
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.33,5.33,3,,,,Armenia
300620 - Blood-grouping reagents,,10.00,10.00,1,,,,Armenia
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,2.80,2.80,10,,,,Armenia
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.33,5.33,3,,,,Armenia
300650 - First-aid boxes and kits,,14.00,14.00,1,,,,Armenia
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,12.00,12.00,1,,,,Armenia
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,14.00,14.00,1,,,,Armenia
300691 -- Appliances identifiable for ostomy use,,12.00,12.00,2,,,,Armenia
300692 -- Waste pharmaceuticals,,14.00,14.00,1,,,,Armenia
,2013,,7.93,7.93,388,,,,Armenia
300120 - Extracts of glands or other organs or of their secretions,,6.00,6.00,2,,,,Armenia
300190 - Other,,4.00,4.00,5,,,,Armenia
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,3.00,3.00,22,,,,Armenia
300220 - Vaccines for human medicine,,2.22,2.22,18,,,,Armenia
300230 - Vaccines for veterinary medicine,,3.78,3.78,9,,,,Armenia
300290 - Other,,6.25,6.25,8,,,,Armenia
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300320 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300331 -- Containing insulin,,14.00,14.00,1,,,,Armenia
300339 -- Other,,7.25,7.25,32,,,,Armenia
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,7.33,7.33,6,,,,Armenia
300390 - Other,,10.53,10.53,72,,,,Armenia
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,11.43,11.43,7,,,,Armenia
300420 - Containing other antibiotics,,6.69,6.69,26,,,,Armenia
300431 -- Containing insulin,,14.00,14.00,1,,,,Armenia
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,12.00,12.00,3,,,,Armenia
300439 -- Other,,7.06,7.06,32,,,,Armenia
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,7.33,7.33,6,,,,Armenia
300450 - Other medicaments containing vitamins or other products of heading 29.36,,9.43,9.43,7,,,,Armenia
300490 - Other,,10.53,10.53,64,,,,Armenia
