Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"278,334,178,146",,,,,,,United States of America
,2018,,2.75,2.75,23,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,United States of America
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,United States of America
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,3.50,3,,,,United States of America
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,United States of America
880390 - Other,,1.56,1.56,5,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,United States of America
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,United States of America
880529 - - Other,,0.00,0.00,1,,,,United States of America
,2017,"24,192,282,583",2.80,2.80,23,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","355,948",3.20,3.20,2,,,,United States of America
"880211 - - Of an unladen weight not exceeding 2,000 kg","25,407,452",7.50,7.50,1,,,,United States of America
"880212 - - Of an unladen weight exceeding 2,000 kg","134,266,899",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","44,292,937",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","785,629,336",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","18,942,069,348",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"142,518,867",3.87,3.87,3,,,,United States of America
880310 - Propellers and rotors and parts thereof,"185,159,320",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"612,839,310",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"3,092,815,109",2.70,2.70,1,,,,United States of America
880390 - Other,"149,062,312",1.56,1.56,5,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"18,633,593",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"13,662,291",2.20,2.20,2,,,,United States of America
880521 - - Air combat simulators and parts thereof,"390,259",0.00,0.00,1,,,,United States of America
880529 - - Other,"45,179,602",0.00,0.00,1,,,,United States of America
,2016,"24,689,885,300",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","702,171",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","58,379,162",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","419,119,679",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","32,433,285",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","640,022,410",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","19,610,870,610",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"144,501",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"187,659,294",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"513,698,746",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"3,055,826,362",2.70,2.70,1,,,,United States of America
880390 - Other,"102,317,199",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"20,415,910",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"7,399,120",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"2,191,844",1.70,1.70,1,,,,United States of America
880529 -- Other,"38,705,007",1.70,1.70,1,,,,United States of America
,2015,"20,577,487,733",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","529,209",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","36,425,457",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","833,769,892",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","45,733,066",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","541,522,442",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","14,804,967,880",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"15,548",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"168,599,777",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"538,405,619",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"3,435,948,946",2.70,2.70,1,,,,United States of America
880390 - Other,"106,094,130",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"21,655,306",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"12,305,260",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"3,876,735",1.70,1.70,1,,,,United States of America
880529 -- Other,"27,638,465",1.70,1.70,1,,,,United States of America
,2014,"12,590,029,199",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","378,939",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","24,659,625",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","363,071,230",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","64,579,181",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","387,870,056",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","8,137,651,757",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"154,782",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"161,148,158",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"565,373,299",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,717,487,609",2.70,2.70,1,,,,United States of America
880390 - Other,"132,355,527",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"20,252,392",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"3,259,025",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"3,553,069",1.70,1.70,1,,,,United States of America
880529 -- Other,"8,234,552",1.70,1.70,1,,,,United States of America
,2013,"10,401,846,478",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,515,416",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","20,292,629",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","101,922,935",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","26,077,716",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","395,760,120",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","6,710,770,412",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"58,247",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"94,748,459",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"431,463,614",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,375,764,394",2.70,2.70,1,,,,United States of America
880390 - Other,"166,713,687",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"21,796,327",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"6,840,691",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"845,153",1.70,1.70,1,,,,United States of America
880529 -- Other,"47,276,680",1.70,1.70,1,,,,United States of America
,2012,"13,918,992,716",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,059,746",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","30,797,339",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","273,007,339",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","51,521,886",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","533,787,931",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","10,083,402,905",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"162,995",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"91,895,522",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"329,739,824",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,270,063,158",2.70,2.70,1,,,,United States of America
880390 - Other,"155,400,362",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"19,671,710",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"5,104,936",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"13,155,450",1.70,1.70,1,,,,United States of America
880529 -- Other,"60,221,614",1.70,1.70,1,,,,United States of America
,2011,"11,415,825,979",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,694,732",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","21,434,253",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","80,635,414",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","57,401,974",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","613,958,624",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","7,748,142,841",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"1,503",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"62,041,537",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"376,250,501",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,266,674,392",2.70,2.70,1,,,,United States of America
880390 - Other,"120,890,509",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"12,315,998",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"6,328,631",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"673,060",1.70,1.70,1,,,,United States of America
880529 -- Other,"47,382,010",1.70,1.70,1,,,,United States of America
,2010,"10,028,724,588",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","2,102,892",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","33,556,848",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","76,592,755",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","93,087,883",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","623,982,716",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","6,561,032,157",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"3,182",4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"54,564,526",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"348,529,645",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,060,917,325",2.70,2.70,1,,,,United States of America
880390 - Other,"102,443,600",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"9,472,869",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"7,773,348",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"24,574,541",1.70,1.70,1,,,,United States of America
880529 -- Other,"30,090,301",1.70,1.70,1,,,,United States of America
,2009,"13,840,957,999",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","570,752",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","58,525,585",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","146,989,701",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","105,545,116",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","1,177,962,272",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","9,526,843,705",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,112,4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"55,649,214",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"333,045,909",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,214,444,554",2.70,2.70,1,,,,United States of America
880390 - Other,"178,424,587",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"8,007,979",2.70,2.70,1,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"10,056,899",2.20,2.20,2,,,,United States of America
880521 -- Air combat simulators and parts thereof,"528,057",1.70,1.70,1,,,,United States of America
880529 -- Other,"24,363,557",1.70,1.70,1,,,,United States of America
,2008,"13,039,288,490",3.07,3.07,21,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,316,878",3.20,3.20,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","118,885,809",7.50,7.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","87,943,458",2.70,2.70,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","180,326,085",7.70,7.70,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","1,995,171,158",2.70,2.70,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","7,768,833,676",2.70,2.70,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,United States of America
880310 - Propellers and rotors and parts thereof,"49,214,648",2.70,2.70,1,,,,United States of America
880320 - Under-carriages and parts thereof,"354,114,256",2.70,2.70,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"2,245,387,307",2.70,2.70,1,,,,United States of America
880390 - Other,"175,875,461",1.95,1.95,4,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"12,665,031",2.70,2.70,1,,,,United States of America
