Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
India,"296,841,119",,,,,,,Brazil
,2018,,9.87,9.87,224,,,,Brazil
300120 - Extracts of glands or other organs or of their secretions,,10.00,10.00,4,,,,Brazil
300190 - Other,,10.00,10.00,3,,,,Brazil
300211 - - Malaria diagnostic test kits,,10.00,10.00,1,,,,Brazil
300212 - - Antisera and other blood fractions,,10.00,10.00,5,,,,Brazil
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Brazil
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Brazil
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,10.00,10.00,1,,,,Brazil
300219 - - Other,,10.00,10.00,1,,,,Brazil
300220 - Vaccines for human medicine,,10.00,10.00,14,,,,Brazil
300230 - Vaccines for veterinary medicine,,10.00,10.00,1,,,,Brazil
300290 - Other,,10.00,10.00,5,,,,Brazil
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,1,,,,Brazil
"300320 - Other, containing antibiotics",,10.00,10.00,1,,,,Brazil
300331 - - Containing insulin,,10.00,10.00,1,,,,Brazil
300339 - - Other,,10.00,10.00,1,,,,Brazil
300341 - - Containing ephedrine or its salts,,10.00,10.00,1,,,,Brazil
300342 - - Containing pseudoephedrine (INN) or its salts,,10.00,10.00,1,,,,Brazil
300343 - - Containing norephedrine or its salts,,10.00,10.00,1,,,,Brazil
300349 - - Other,,10.00,10.00,1,,,,Brazil
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10.00,10.00,1,,,,Brazil
300390 - Other,,10.00,10.00,14,,,,Brazil
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10.00,10.00,8,,,,Brazil
"300420 - Other, containing antibiotics",,10.00,10.00,29,,,,Brazil
