Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Yemen,0,,,,,,,Japan
,2016,,9.40,9.40,126,,,,Japan
870110 - Pedestrian controlled tractors,,5.00,5.00,2,,,,Japan
870120 - Road tractors for semi-trailers,,15.00,15.00,3,,,,Japan
870130 -Track-laying tractors,,5.00,5.00,1,,,,Japan
870190 - Other,,5.00,5.00,2,,,,Japan
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),,15.00,15.00,3,,,,Japan
870290 - Other,,15.00,15.00,3,,,,Japan
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,15.00,15.00,3,,,,Japan
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,15.00,15.00,3,,,,Japan
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,15.00,15.00,3,,,,Japan
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,15.00,15.00,3,,,,Japan
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,15.00,15.00,3,,,,Japan
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,15.00,15.00,3,,,,Japan
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,15.00,15.00,3,,,,Japan
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,15.00,15.00,3,,,,Japan
870390 - Other,,15.00,15.00,3,,,,Japan
870410 - Dumpers designed for off-highway use,,15.00,15.00,3,,,,Japan
870421 -- g.v.w. not exceeding 5 tonnes,,15.00,15.00,3,,,,Japan
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.00,15.00,3,,,,Japan
870423 -- g.v.w. exceeding 20 tonnes,,15.00,15.00,3,,,,Japan
870431 -- g.v.w. not exceeding 5 tonnes,,15.00,15.00,3,,,,Japan
