Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Yemen,0,,,,,,,"Korea, Republic of"
,2016,,10.00,10.00,106,,,,"Korea, Republic of"
610120 - Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610130 - Of man-made fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610190 - Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610220 - Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610230 - Of man-made fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610290 - Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610310 - Suits,,10.00,10.00,1,,,,"Korea, Republic of"
610322 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610329 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610332 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610339 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610342 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610349 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610419 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610422 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610429 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610432 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610439 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610442 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610444 -- Of artificial fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610449 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610452 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610459 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,"Korea, Republic of"
610462 -- Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,"Korea, Republic of"
610469 -- Of other textile materials,,10.00,10.00,1,,,,"Korea, Republic of"
610510 - Of cotton,,10.00,10.00,1,,,,"Korea, Republic of"
