Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"3,094,614,107",,,,,,,Brazil
,2018,,0.00,0.00,55,,,,Brazil
300120 - Extracts of glands or other organs or of their secretions,,0.00,0.00,2,,,,Brazil
300190 - Other,,0.00,0.00,3,,,,Brazil
300211 - - Malaria diagnostic test kits,,0.00,0.00,1,,,,Brazil
300212 - - Antisera and other blood fractions,,0.00,0.00,1,,,,Brazil
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Brazil
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Brazil
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale",,0.00,0.00,1,,,,Brazil
300219 - - Other,,0.00,0.00,1,,,,Brazil
300220 - Vaccines for human medicine,,0.00,0.00,1,,,,Brazil
300230 - Vaccines for veterinary medicine,,0.00,0.00,1,,,,Brazil
300290 - Other,,0.00,0.00,4,,,,Brazil
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Brazil
"300320 - Other, containing antibiotics",,0.00,0.00,1,,,,Brazil
300331 - - Containing insulin,,0.00,0.00,1,,,,Brazil
300339 - - Other,,0.00,0.00,1,,,,Brazil
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Brazil
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Brazil
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Brazil
300349 - - Other,,0.00,0.00,1,,,,Brazil
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Brazil
300390 - Other,,0.00,0.00,1,,,,Brazil
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Brazil
"300420 - Other, containing antibiotics",,0.00,0.00,1,,,,Brazil
300431 - - Containing insulin,,0.00,0.00,1,,,,Brazil
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues",,0.00,0.00,1,,,,Brazil
300439 - - Other,,0.00,0.00,1,,,,Brazil
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Brazil
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Brazil
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Brazil
300449 - - Other,,0.00,0.00,1,,,,Brazil
"300450 - Other, containing vitamins or other products of heading 29.36",,0.00,0.00,1,,,,Brazil
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Brazil
300490 - Other,,0.00,0.00,1,,,,Brazil
300510 - Adhesive dressings and other articles having an adhesive layer,,0.00,0.00,1,,,,Brazil
300590 - Other,,0.00,0.00,4,,,,Brazil
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,0.00,0.00,3,,,,Brazil
300620 - Blood-grouping reagents,,0.00,0.00,1,,,,Brazil
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,0.00,0.00,1,,,,Brazil
300640 - Dental cements and other dental fillings; bone reconstruction cements,,0.00,0.00,1,,,,Brazil
300650 - First-aid boxes and kits,,0.00,0.00,1,,,,Brazil
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,1,,,,Brazil
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,0.00,0.00,1,,,,Brazil
300691 - - Appliances identifiable for ostomy use,,0.00,0.00,1,,,,Brazil
300692 - - Waste pharmaceuticals,,0.00,0.00,1,,,,Brazil
,2017,"153,265,871",0.00,0.00,55,,,,Brazil
300120 - Extracts of glands or other organs or of their secretions,"940,241",0.00,0.00,2,,,,Brazil
300190 - Other,"26,758,447",0.00,0.00,3,,,,Brazil
300211 - - Malaria diagnostic test kits,21,0.00,0.00,1,,,,Brazil
300212 - - Antisera and other blood fractions,"14,144,720",0.00,0.00,1,,,,Brazil
"300213 - - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale","57,000",0.00,0.00,1,,,,Brazil
"300214 - - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","1,627",0.00,0.00,1,,,,Brazil
"300215 - - Immunological products, put up in measured doses or in forms or packings for retail sale","17,687",0.00,0.00,1,,,,Brazil
300219 - - Other,"5,668,469",0.00,0.00,1,,,,Brazil
300220 - Vaccines for human medicine,"1,716",0.00,0.00,1,,,,Brazil
300230 - Vaccines for veterinary medicine,"1,054,260",0.00,0.00,1,,,,Brazil
300290 - Other,"1,206,333",0.00,0.00,4,,,,Brazil
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,0.00,0.00,1,,,,Brazil
"300320 - Other, containing antibiotics",119,0.00,0.00,1,,,,Brazil
300331 - - Containing insulin,"207,395",0.00,0.00,1,,,,Brazil
300339 - - Other,"1,094",0.00,0.00,1,,,,Brazil
300341 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Brazil
300342 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Brazil
300343 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Brazil
300349 - - Other,,0.00,0.00,1,,,,Brazil
"300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0.00,0.00,1,,,,Brazil
300390 - Other,"167,350",0.00,0.00,1,,,,Brazil
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",792,0.00,0.00,1,,,,Brazil
"300420 - Other, containing antibiotics","4,137,571",0.00,0.00,1,,,,Brazil
300431 - - Containing insulin,983,0.00,0.00,1,,,,Brazil
"300432 - - Containing corticosteroid hormones, their derivatives or structural analogues","8,438,320",0.00,0.00,1,,,,Brazil
300439 - - Other,"1,351,817",0.00,0.00,1,,,,Brazil
300441 - - Containing ephedrine or its salts,,0.00,0.00,1,,,,Brazil
300442 - - Containing pseudoephedrine (INN) or its salts,,0.00,0.00,1,,,,Brazil
300443 - - Containing norephedrine or its salts,,0.00,0.00,1,,,,Brazil
300449 - - Other,"51,511",0.00,0.00,1,,,,Brazil
"300450 - Other, containing vitamins or other products of heading 29.36","1,111,090",0.00,0.00,1,,,,Brazil
"300460 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",5,0.00,0.00,1,,,,Brazil
300490 - Other,"56,942,500",0.00,0.00,1,,,,Brazil
300510 - Adhesive dressings and other articles having an adhesive layer,"5,728",0.00,0.00,1,,,,Brazil
300590 - Other,"133,442",0.00,0.00,4,,,,Brazil
