Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
European Union,"19,754,916,419",,,,,,,United States of America
,2018,,2.14,2.14,63,,,,United States of America
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,1.98,19,,,,United States of America
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,United States of America
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,United States of America
950440 - Playing cards,,2.70,2.70,1,,,,United States of America
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,United States of America
950490 - Other,,0.00,0.00,2,,,,United States of America
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,United States of America
950590 - Other,,2.70,2.70,1,,,,United States of America
950611 - - Skis,,3.70,3.70,4,,,,United States of America
950612 - - Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,United States of America
950619 - - Other,,2.70,2.70,1,,,,United States of America
950621 - - Sailboards,,2.70,2.70,1,,,,United States of America
950629 - - Other,,2.70,2.70,1,,,,United States of America
"950631 - - Clubs, complete",,2.70,2.70,1,,,,United States of America
950632 - - Balls,,2.70,2.70,1,,,,United States of America
950639 - - Other,,2.70,2.70,2,,,,United States of America
950640 - Articles and equipment for table-tennis,,2.70,2.70,1,,,,United States of America
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,United States of America
950659 - - Other,,2.70,2.70,1,,,,United States of America
950661 - - Lawn-tennis balls,,2.70,2.70,1,,,,United States of America
950662 - - Inflatable,,2.70,2.70,1,,,,United States of America
950669 - - Other,,1.35,1.35,2,,,,United States of America
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,United States of America
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,United States of America
950699 - - Other,,1.35,1.35,2,,,,United States of America
950710 - Fishing rods,,3.70,3.70,1,,,,United States of America
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,United States of America
950730 - Fishing reels,,3.70,3.70,1,,,,United States of America
950790 - Other,,3.70,3.70,1,,,,United States of America
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,United States of America
950890 - Other,,1.70,1.70,1,,,,United States of America
,2017,"990,019,576",2.14,2.14,63,,,,United States of America
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","121,956,924",1.98,1.98,19,,,,United States of America
950420 - Articles and accessories for billiards of all kinds,"3,197,595",0.00,0.00,1,,,,United States of America
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","190,307,141",0.00,0.00,3,,,,United States of America
950440 - Playing cards,"132,170,569",2.70,2.70,1,,,,United States of America
"950450 - Video game consoles and machines, other than those of subheading 9504.30","11,341,664",0.00,0.00,1,,,,United States of America
950490 - Other,"79,036,424",0.00,0.00,2,,,,United States of America
950510 - Articles for Christmas festivities,"4,687,440",1.35,1.35,2,,,,United States of America
950590 - Other,"15,668,850",2.70,2.70,1,,,,United States of America
950611 - - Skis,"5,388,375",3.70,3.70,4,,,,United States of America
950612 - - Ski-fastenings (ski-bindings),"1,368,567",3.70,3.70,1,,,,United States of America
950619 - - Other,"1,302,118",2.70,2.70,1,,,,United States of America
950621 - - Sailboards,"421,305",2.70,2.70,1,,,,United States of America
950629 - - Other,"16,730,193",2.70,2.70,1,,,,United States of America
"950631 - - Clubs, complete","9,418,755",2.70,2.70,1,,,,United States of America
950632 - - Balls,"32,958,473",2.70,2.70,1,,,,United States of America
950639 - - Other,"24,779,115",2.70,2.70,2,,,,United States of America
950640 - Articles and equipment for table-tennis,"315,224",2.70,2.70,1,,,,United States of America
"950651 - - Lawn-tennis rackets, whether or not strung","360,371",4.70,4.70,1,,,,United States of America
950659 - - Other,"226,236",2.70,2.70,1,,,,United States of America
950661 - - Lawn-tennis balls,"90,346",2.70,2.70,1,,,,United States of America
950662 - - Inflatable,"561,953",2.70,2.70,1,,,,United States of America
950669 - - Other,"1,716,900",1.35,1.35,2,,,,United States of America
"950670 - Ice skates and roller skates, including skating boots with skates attached","5,046,885",1.80,1.80,3,,,,United States of America
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","191,501,041",2.70,2.70,2,,,,United States of America
950699 - - Other,"97,312,377",1.35,1.35,2,,,,United States of America
950710 - Fishing rods,"4,059,285",3.70,3.70,1,,,,United States of America
"950720 - Fish-hooks, whether or not snelled","943,747",2.70,2.70,2,,,,United States of America
950730 - Fishing reels,"3,027,723",3.70,3.70,1,,,,United States of America
950790 - Other,"13,753,138",3.70,3.70,1,,,,United States of America
950810 - Travelling circuses and travelling menageries,"973,809",1.70,1.70,1,,,,United States of America
950890 - Other,"19,397,033",1.70,1.70,1,,,,United States of America
,2016,"956,523,511",2.17,2.17,62,,,,United States of America
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","118,985,164",2.09,2.09,18,,,,United States of America
950420 - Articles and accessories for billiards of all kinds,"3,033,089",0.00,0.00,1,,,,United States of America
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","155,673,852",0.00,0.00,3,,,,United States of America
950440 - Playing cards,"88,505,469",2.70,2.70,1,,,,United States of America
"950450 -Video game consoles and machines, other than those of subheading 9504.30","27,789,375",0.00,0.00,1,,,,United States of America
950490 - Other,"67,903,934",0.00,0.00,2,,,,United States of America
950510 - Articles for Christmas festivities,"4,074,917",1.35,1.35,2,,,,United States of America
950590 - Other,"21,714,758",2.70,2.70,1,,,,United States of America
950611 -- Skis,"5,074,468",3.70,3.70,4,,,,United States of America
950612 -- Ski-fastenings (ski-bindings),"1,796,348",3.70,3.70,1,,,,United States of America
950619 -- Other,"1,351,222",2.70,2.70,1,,,,United States of America
950621 -- Sailboards,"678,731",2.70,2.70,1,,,,United States of America
950629 -- Other,"18,214,486",2.70,2.70,1,,,,United States of America
"950631 -- Clubs, complete","7,475,073",2.70,2.70,1,,,,United States of America
950632 -- Balls,"31,913,719",2.70,2.70,1,,,,United States of America
950639 -- Other,"22,021,494",2.70,2.70,2,,,,United States of America
950640 - Articles and equipment for table-tennis,"147,241",2.70,2.70,1,,,,United States of America
"950651 -- Lawn-tennis rackets, whether or not strung","931,924",4.70,4.70,1,,,,United States of America
950659 -- Other,"292,638",2.70,2.70,1,,,,United States of America
950661 -- Lawn-tennis balls,"153,123",2.70,2.70,1,,,,United States of America
950662 -- Inflatable,"1,300,975",2.70,2.70,1,,,,United States of America
950669 -- Other,"2,127,349",1.35,1.35,2,,,,United States of America
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,646,056",1.80,1.80,3,,,,United States of America
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","215,443,016",2.70,2.70,2,,,,United States of America
950699 -- Other,"103,955,169",1.35,1.35,2,,,,United States of America
950710 - Fishing rods,"3,957,227",3.70,3.70,1,,,,United States of America
"950720 - Fish-hooks, whether or not snelled","829,016",2.70,2.70,2,,,,United States of America
950730 - Fishing reels,"3,772,844",3.70,3.70,1,,,,United States of America
950790 - Other,"15,102,958",3.70,3.70,1,,,,United States of America
950810 - Travelling circuses and travelling menageries,"473,297",1.70,1.70,1,,,,United States of America
950890 - Other,"27,184,578",1.70,1.70,1,,,,United States of America
,2015,"907,358,564",2.17,2.17,62,,,,United States of America
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","118,706,333",2.09,2.09,18,,,,United States of America
950420 - Articles and accessories for billiards of all kinds,"2,482,487",0.00,0.00,1,,,,United States of America
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","147,582,115",0.00,0.00,3,,,,United States of America
950440 - Playing cards,"47,484,719",2.70,2.70,1,,,,United States of America
"950450 -Video game consoles and machines, other than those of subheading 9504.30","9,797,966",0.00,0.00,1,,,,United States of America
950490 - Other,"55,550,956",0.00,0.00,2,,,,United States of America
950510 - Articles for Christmas festivities,"6,061,148",1.35,1.35,2,,,,United States of America
950590 - Other,"21,457,041",2.70,2.70,1,,,,United States of America
950611 -- Skis,"4,462,366",3.70,3.70,4,,,,United States of America
950612 -- Ski-fastenings (ski-bindings),"1,430,956",3.70,3.70,1,,,,United States of America
950619 -- Other,"1,271,090",2.70,2.70,1,,,,United States of America
950621 -- Sailboards,"682,789",2.70,2.70,1,,,,United States of America
950629 -- Other,"22,180,174",2.70,2.70,1,,,,United States of America
"950631 -- Clubs, complete","8,978,718",2.70,2.70,1,,,,United States of America
950632 -- Balls,"40,597,423",2.70,2.70,1,,,,United States of America
950639 -- Other,"27,093,737",2.70,2.70,2,,,,United States of America
950640 - Articles and equipment for table-tennis,"110,618",2.70,2.70,1,,,,United States of America
"950651 -- Lawn-tennis rackets, whether or not strung","163,419",4.70,4.70,1,,,,United States of America
950659 -- Other,"241,416",2.70,2.70,1,,,,United States of America
950661 -- Lawn-tennis balls,"60,485",2.70,2.70,1,,,,United States of America
950662 -- Inflatable,"700,894",2.70,2.70,1,,,,United States of America
950669 -- Other,"1,772,060",1.35,1.35,2,,,,United States of America
"950670 - Ice skates and roller skates, including skating boots with skates attached","5,776,083",1.80,1.80,3,,,,United States of America
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","215,124,531",2.70,2.70,2,,,,United States of America
950699 -- Other,"112,526,615",1.35,1.35,2,,,,United States of America
950710 - Fishing rods,"3,752,196",3.70,3.70,1,,,,United States of America
"950720 - Fish-hooks, whether or not snelled","915,074",2.70,2.70,2,,,,United States of America
950730 - Fishing reels,"2,994,488",3.70,3.70,1,,,,United States of America
950790 - Other,"16,313,567",3.70,3.70,1,,,,United States of America
950810 - Travelling circuses and travelling menageries,"226,791",1.70,1.70,1,,,,United States of America
950890 - Other,"30,860,309",1.70,1.70,1,,,,United States of America
,2014,"832,160,357",2.17,2.17,62,,,,United States of America
