Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
European Union,"1,094,308",,,,,,,Nepal
,2018,,5.48,0.00,210,,179,,Nepal
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,Nepal
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,Nepal
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Nepal
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,0.00,1,,1,,Nepal
390190 - Other,,3.25,0.00,2,,1,,Nepal
390210 - Polypropylene,,6.50,0.00,1,,1,,Nepal
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Nepal
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Nepal
390290 - Other,,2.17,0.00,3,,1,,Nepal
390311 - - Expansible,,6.50,0.00,1,,1,,Nepal
390319 - - Other,,6.50,0.00,1,,1,,Nepal
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Nepal
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,Nepal
390390 - Other,,2.17,0.00,3,,1,,Nepal
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Nepal
390421 - - Non-plasticised,,6.50,0.00,1,,1,,Nepal
390422 - - Plasticised,,6.50,0.00,1,,1,,Nepal
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Nepal
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Nepal
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Nepal
390461 - - Polytetrafluoroethylene,,6.50,0.00,1,,1,,Nepal
390469 - - Other,,4.33,0.00,3,,2,,Nepal
390490 - Other,,6.50,0.00,1,,1,,Nepal
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,Nepal
390519 - - Other,,6.50,0.00,1,,1,,Nepal
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,Nepal
390529 - - Other,,6.50,0.00,1,,1,,Nepal
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Nepal
390591 - - Copolymers,,6.50,0.00,1,,1,,Nepal
390599 - - Other,,3.25,0.00,2,,1,,Nepal
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Nepal
390690 - Other,,0.93,0.00,7,,1,,Nepal
390710 - Polyacetals,,6.50,0.00,1,,1,,Nepal
390720 - Other polyethers,,4.88,0.00,4,,3,,Nepal
390730 - Epoxide resins,,6.50,0.00,1,,1,,Nepal
390740 - Polycarbonates,,6.50,0.00,1,,1,,Nepal
390750 - Alkyd resins,,6.50,0.00,1,,1,,Nepal
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,0.00,1,,1,,Nepal
390769 - - Other,,6.50,0.00,1,,1,,Nepal
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Nepal
390791 - - Unsaturated,,6.50,0.00,2,,2,,Nepal
390799 - - Other,,3.27,0.00,3,,2,,Nepal
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Nepal
390890 - Other,,6.50,0.00,1,,1,,Nepal
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Nepal
390920 - Melamine resins,,6.50,0.00,1,,1,,Nepal
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,Nepal
390939 - - Other,,6.50,0.00,1,,1,,Nepal
390940 - Phenolic resins,,6.50,0.00,1,,1,,Nepal
390950 - Polyurethanes,,3.25,0.00,2,,1,,Nepal
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Nepal
