Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
Yemen,0,,,,,,,South Africa
,2016,,4.56,4.56,35,1,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,,5.00,5.00,1,,,,South Africa
300190 - Other,,5.00,5.00,1,,,,South Africa
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,5.00,5.00,1,,,,South Africa
300220 - Vaccines for human medicine,,5.00,5.00,1,,,,South Africa
300230 - Vaccines for veterinary medicine,,5.00,5.00,1,,,,South Africa
300290 - Other,,5.00,5.00,1,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,South Africa
300320 - Containing other antibiotics,,5.00,5.00,1,,,,South Africa
300331 -- Containing insulin,,5.00,5.00,1,,,,South Africa
300339 -- Other,,5.00,5.00,1,,,,South Africa
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,5.00,5.00,1,,,,South Africa
300390 - Other,,2.50,2.50,2,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,South Africa
300420 - Containing other antibiotics,,5.00,5.00,1,,,,South Africa
300431 -- Containing insulin,,5.00,5.00,1,,,,South Africa
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,5.00,5.00,1,,,,South Africa
300439 -- Other,,5.00,5.00,1,,,,South Africa
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,5.00,5.00,1,,,,South Africa
300450 - Other medicaments containing vitamins or other products of heading 29.36,,5.00,5.00,1,,,,South Africa
300490 - Other,,2.50,2.50,2,,,,South Africa
300510 - Adhesive dressings and other articles having an adhesive layer,,5.00,5.00,1,,,,South Africa
300590 - Other,,5.00,5.00,1,,,,South Africa
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.00,5.00,1,,,,South Africa
300620 - Blood-grouping reagents,,5.00,5.00,1,,,,South Africa
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,5.00,5.00,2,,,,South Africa
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.00,5.00,1,,,,South Africa
300650 - First-aid boxes and kits,,5.00,5.00,1,,,,South Africa
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,2,,,,South Africa
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,5.00,5.00,1,,,,South Africa
300691 -- Appliances identifiable for ostomy use,,10.00,10.00,1,,,,South Africa
300692 -- Waste pharmaceuticals,,,,1,1,,,South Africa
,2015,,4.56,4.56,35,1,,,South Africa
300120 - Extracts of glands or other organs or of their secretions,,5.00,5.00,1,,,,South Africa
300190 - Other,,5.00,5.00,1,,,,South Africa
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,5.00,5.00,1,,,,South Africa
300220 - Vaccines for human medicine,,5.00,5.00,1,,,,South Africa
300230 - Vaccines for veterinary medicine,,5.00,5.00,1,,,,South Africa
300290 - Other,,5.00,5.00,1,,,,South Africa
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,South Africa
300320 - Containing other antibiotics,,5.00,5.00,1,,,,South Africa
300331 -- Containing insulin,,5.00,5.00,1,,,,South Africa
300339 -- Other,,5.00,5.00,1,,,,South Africa
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,5.00,5.00,1,,,,South Africa
300390 - Other,,2.50,2.50,2,,,,South Africa
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,South Africa
300420 - Containing other antibiotics,,5.00,5.00,1,,,,South Africa
